,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G0334912-0000982,2G0334912-0000982,33.4912,-0.0098,0.11,0.22,0.17,0.2,0.05,15,82,0.64,0.07,0.1,C,,,G033.490-00.010,,,Simbad,283.1232,0.4933
2G0442443-0012927,2G0442443-0012927,44.2443,-0.1293,0.17,0.39,0.32,0.35,0.14,19,85,0.56,0.07,0.17,R,,1G044244-001294,G044.243-00.129,,,Simbad,288.1878,9.9942
2G3315250-0009237,2G3315250-0009237,331.5251,-0.0924,0.5,1.82,1.6,1.71,0.28,25,78,0.48,0.03,0.19,R,,1G331533-000927,G331.520-00.076,5.4,,Simbad,243.0459,-51.4606
2G3505314-0034437,2G3505314-0034437,350.5314,-0.3444,0.62,0.55,0.37,0.47,0.29,179,63,0.74,0.14,0.08,R,,,G350.535-00.346,,,Simbad,260.6084,-37.0748
2G3510321+0019110,2G3510321+0019110,351.0322,0.1911,0.09,0.52,0.45,0.48,0.06,30,79,0.51,,0.22,C,,1G351033+001916,,,,Simbad,260.4132,-36.3585
2G0378116-0024885,2G0378116-0024885,37.8117,-0.2488,1.14,3.7,2.28,3.07,0.67,39,124,0.79,0.09,0.14,R,P,,,,,Simbad,285.3107,4.228
2G0156734-0028637,2G0156734-0028637,15.6735,-0.2864,0.4,4.08,3.83,3.95,0.44,47,71,0.34,,0.3,C,,1G015684-002904,G015.676-00.288,11.6,,Simbad,275.0584,-15.4454
2G3347019-0009580,2G3347019-0009580,334.7019,-0.0958,0.32,0.99,0.76,0.88,0.21,57,90,0.64,0.22,0.34,R,,1G334700-000992,G334.698-00.090,12.9,,Simbad,246.6009,-49.2356
2G0596647+0006478,2G0596647+0006478,59.6647,0.0648,0.15,0.44,0.25,0.35,0.05,45,49,0.82,,0.14,C,,,G059.664+00.063,,,Simbad,295.7325,23.6319
2G0478667-0085112,2G0478667-0085112,47.8667,-0.8511,0.1,0.71,0.65,0.68,0.14,9,54,0.41,,0.26,C,,1G047866-008511,G047.867-00.854,,,Simbad,290.5653,12.86
2G3061311+0014013,2G3061311+0014013,306.1311,0.1401,0.26,0.4,0.2,0.32,0.12,144,75,0.86,,0.21,C,,,,,,Simbad,199.815,-62.5587
