,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G0439628-0028409,2G0439628-0028409,43.9629,-0.2841,0.67,0.77,0.48,0.64,0.2,31,89,0.78,,0.15,C,,1G043964-002814,G043.969-00.277,,,Simbad,288.1946,9.6731
2G0388584-0013478,2G0388584-0013478,38.8585,-0.1348,0.84,1.17,0.85,1.02,0.35,45,65,0.68,,0.14,C,,1G038854-001419,G038.861-00.135,8.9,,Simbad,285.6899,5.2109
2G3016264-0034826,2G3016264-0034826,301.6265,-0.3483,0.81,5.59,5.18,5.39,0.66,9,103,0.38,0.2,0.54,R,,1G301626-003323,G301.615-00.340,,S167,Simbad,189.9642,-63.1907
2G0560846-0011452,2G0560846-0011452,56.0846,-0.1145,0.58,1.52,0.95,1.27,0.37,38,100,0.78,0.1,0.09,C,,1G056081-001073,G056.080-00.106,,,Simbad,293.9998,20.4271
2G0362007-0017661,2G0362007-0017661,36.2007,-0.1766,0.82,2.12,1.68,1.91,0.5,174,92,0.61,,0.14,C,,1G036198-001725,G036.192-00.171,6.9,,Simbad,284.5086,2.8282
2G3051871+0002948,2G3051871+0002948,305.1871,0.0295,0.69,0.93,0.49,0.74,0.29,28,62,0.85,0.04,0.09,C,,,G305.196+00.034,,,Simbad,197.7906,-62.7558
2G3427011+0015395,2G3427011+0015395,342.7012,0.154,0.26,0.64,0.46,0.56,0.16,56,107,0.69,0.1,0.22,R,,1G342701+001538,G342.700+00.155,,,Simbad,253.9772,-43.066
2G0096968-0086372,2G0096968-0086372,9.6969,-0.8637,1.92,1.8,1.06,1.47,0.48,12,73,0.81,0.13,0.21,R,,1G009701-008719,,,,Simbad,272.5909,-20.9736
2G3368025+0001860,2G3368025+0001860,336.8025,0.0186,0.13,0.94,0.71,0.83,0.07,44,57,0.65,,0.2,C,,1G336803+000188,,,,Simbad,248.6498,-47.63
2G0372977+0045892,2G0372977+0045892,37.2978,0.4589,0.15,0.7,0.57,0.64,0.13,26,78,0.58,0.39,0.34,R,,1G037297+004595,G037.296+00.458,,,Simbad,284.4441,4.0944
2G3271843-0053039,2G3271843-0053039,327.1844,-0.5304,0.4,3.92,2.23,3.19,0.23,34,67,0.82,,0.19,C,,1G327197-005048,G327.172-00.527,,,Simbad,238.0875,-54.6495
2G0045637-0011779,2G0045637-0011779,4.5637,-0.1178,0.1,1.8,1.51,1.66,0.1,174,41,0.55,,0.17,C,,1G004565-001150,G004.557-00.124,,CN63,Simbad,269.1395,-25.0749
2G3108856-0055691,2G3108856-0055691,310.8856,-0.5569,0.12,0.37,0.31,0.35,0.07,28,123,0.54,0.09,0.26,R,,1G310885-005568,G310.886-00.558,,,Simbad,210.2078,-62.3522
2G3193814-0029851,2G3193814-0029851,319.3815,-0.2985,0.07,0.26,0.22,0.24,0.1,34,152,0.54,0.18,0.15,R,,,G319.381-00.298,,,Simbad,226.0624,-58.862
2G0241882-0003587,2G0241882-0003587,24.1882,-0.0359,0.28,0.85,0.72,0.79,0.17,32,99,0.53,0.23,0.29,R,,1G024190-000332,G024.187-00.037,,,Simbad,278.88,-7.792
2G3372852+0011369,2G3372852+0011369,337.2852,0.1137,0.7,0.57,0.42,0.5,0.2,58,106,0.67,0.14,0.33,R,,1G337288+001126,G337.286+00.113,,,Simbad,249.0278,-47.2097
2G0485110+0023520,2G0485110+0023520,48.5111,0.2352,0.25,1.16,0.91,1.04,0.27,57,85,0.62,0.07,0.27,R,,1G048512+002338,G048.511+00.232,,,Simbad,289.8909,13.9393
2G3313739+0011425,2G3313739+0011425,331.374,0.1143,0.69,0.95,0.84,0.9,0.28,9,60,0.48,,0.13,C,,,G331.371+00.113,,,Simbad,242.6425,-51.4123
2G0103446-0082903,2G0103446-0082903,10.3446,-0.829,2.82,4.92,3.88,4.43,1.21,28,86,0.61,0.17,0.22,R,,1G010333-008212,G010.330-00.818,,,Simbad,272.892,-20.3894
2G3094107-0036945,2G3094107-0036945,309.4107,-0.3695,0.4,2.0,1.55,1.79,0.36,25,74,0.64,0.09,0.25,R,,1G309412-003691,G309.421-00.367,,S142,Simbad,207.0165,-62.5268
2G3344726-0085801,2G3344726-0085801,334.4727,-0.858,0.56,1.53,1.14,1.35,0.29,88,113,0.67,0.19,0.27,R,,1G334468-008534,,,,Simbad,247.2027,-49.9294
2G3371500-0017704,2G3371500-0017704,337.1501,-0.177,0.4,1.54,1.0,1.3,0.32,159,95,0.76,0.16,0.25,R,,1G337157-001775,,,,Simbad,249.2112,-47.5052
2G0289714-0002279,2G0289714-0002279,28.9715,-0.0228,0.26,0.59,0.49,0.54,0.14,165,97,0.56,0.08,0.18,R,,1G028973-000206,G028.970-00.024,,,Simbad,281.0716,-3.5346
2G3570171-0012057,2G3570171-0012057,357.0172,-0.1206,0.3,0.83,0.59,0.72,0.17,67,70,0.7,,0.22,C,,1G357020-001224,G357.022-00.121,,CS24,Simbad,264.703,-31.5343
2G0196110-0008881,2G0196110-0008881,19.611,-0.0888,0.2,0.49,0.38,0.44,0.09,161,98,0.63,0.08,0.17,R,D,1G019611-000844,,,,Simbad,276.7777,-11.8742
2G3168604+0001916,2G3168604+0001916,316.8605,0.0192,0.95,3.77,2.31,3.13,0.77,58,74,0.79,,0.15,C,,1G316869+000194,G316.875+00.041,,S108,Simbad,221.3846,-59.7308
2G0378434-0050525,2G0378434-0050525,37.8435,-0.5052,0.38,2.22,1.65,1.96,0.24,22,76,0.67,,0.26,C,,1G037847-005104,G037.838-00.510,,,Simbad,285.5539,4.139
2G0454841+0014482,2G0454841+0014482,45.4842,0.1448,0.23,0.36,0.26,0.31,0.09,27,106,0.71,0.04,0.11,C,,,G045.484+00.143,6.0,,Simbad,288.5259,11.2198
2G3326807-0053874,2G3326807-0053874,332.6808,-0.5387,0.45,1.91,1.72,1.82,0.31,48,83,0.43,0.21,0.19,R,,1G332685-005356,,,S50,Simbad,244.8704,-50.982
2G0138528+0022024,2G0138528+0022024,13.8529,0.2203,0.43,1.66,1.38,1.52,0.33,169,149,0.56,0.16,0.1,R,,,G013.857+00.226,,,Simbad,273.6948,-16.8075
2G0286705+0001261,2G0286705+0001261,28.6705,0.0126,0.19,0.93,0.75,0.84,0.18,2,59,0.59,0.09,0.22,R,,1G028672+000154,G028.670+00.011,,,Simbad,280.9023,-3.7861
2G3400207-0050043,2G3400207-0050043,340.0207,-0.5004,0.86,3.43,2.65,3.07,0.63,39,96,0.64,0.05,0.17,R,,,G340.023-00.499,,,Simbad,252.3072,-45.5532
2G3399381-0007953,2G3399381-0007953,339.9382,-0.0795,1.24,1.55,0.98,1.29,0.5,63,99,0.78,0.14,0.06,R,,1G339936-000801,G339.943-00.093,,,Simbad,251.7728,-45.3448
2G2989015+0021571,2G2989015+0021571,298.9015,0.2157,0.1,0.27,0.16,0.22,0.1,2,33,0.81,,0.17,C,,,G298.903+00.218,,,Simbad,184.1386,-62.3828
2G3397286+0006587,2G3397286+0006587,339.7286,0.0659,0.47,0.74,0.65,0.7,0.2,10,116,0.47,0.1,0.17,R,,1G339728+000659,G339.728+00.068,,,Simbad,251.4217,-45.4099
2G0244557+0047220,2G0244557+0047220,24.4557,0.4722,0.23,1.19,0.65,0.96,0.12,64,41,0.84,,0.16,C,,1G024454+004725,,,,Simbad,278.5493,-7.3206
2G3332149-0038775,2G3332149-0038775,333.2149,-0.3878,0.27,1.18,0.83,1.02,0.19,39,73,0.71,0.06,0.14,R,,1G333213-003894,G333.211-00.394,,,Simbad,245.3025,-50.499
2G0488175-0002502,2G0488175-0002502,48.8176,-0.025,0.31,1.49,1.19,1.35,0.24,59,76,0.6,0.2,0.16,R,,1G048827-000279,G048.833-00.037,,,Simbad,290.276,14.0877
2G3406004+0034092,2G3406004+0034092,340.6004,0.3409,0.08,0.49,0.35,0.43,0.06,26,50,0.71,,0.27,C,D,1G340601+003413,G340.600+00.342,,,Simbad,251.9248,-44.5678
2G3511729+0067348,2G3511729+0067348,351.173,0.6735,0.62,1.29,0.82,1.08,0.3,88,92,0.77,0.09,0.11,C,,,,,,Simbad,260.0219,-35.9677
2G0125845+0008376,2G0125845+0008376,12.5845,0.0838,0.19,0.55,0.36,0.46,0.11,28,76,0.76,,0.17,C,,1G012584+000841,G012.581+00.085,,,Simbad,273.1841,-17.9864
2G3558055-0027290,2G3558055-0027290,355.8056,-0.2729,0.42,1.98,1.69,1.84,0.23,23,52,0.52,,0.21,C,,1G355806-002690,G355.803-00.274,,,Simbad,264.0881,-32.6387
2G0061315-0037932,2G0061315-0037932,6.1316,-0.3793,0.32,0.68,0.54,0.62,0.28,38,59,0.61,0.17,0.13,R,,1G006131-003781,G006.131-00.380,,,Simbad,270.248,-23.8466
2G0581248+0090754,2G0581248+0090754,58.1249,0.9075,0.11,0.35,0.28,0.32,0.08,30,84,0.6,0.11,0.18,R,,1G058124+009100,G058.121+00.910,,,Simbad,294.11,22.7067
2G3367763+0008646,2G3367763+0008646,336.7763,0.0865,1.01,2.65,1.79,2.26,0.83,67,108,0.74,0.06,0.16,R,,1G336763+000876,G336.753+00.097,,,Simbad,248.5493,-47.6032
2G0533351+0089176,2G0533351+0089176,53.3351,0.8918,0.15,0.64,0.43,0.54,0.1,78,62,0.75,0.12,0.12,R,,1G053335+008954,G053.334+00.894,,,Simbad,291.6605,18.5016
2G0120247+0057859,2G0120247+0057859,12.0247,0.5786,0.54,3.86,3.25,3.57,0.45,40,94,0.54,,0.24,C,,1G012021+005827,,,,Simbad,272.4442,-18.2387
2G3281388+0065465,2G3281388+0065465,328.1389,0.6547,0.08,0.26,0.19,0.23,0.07,150,78,0.69,0.19,0.12,R,,1G328139+006549,G328.139+00.654,,,Simbad,238.0726,-53.1278
2G0071524-0007009,2G0071524-0007009,7.1525,-0.0701,0.03,0.27,0.19,0.23,0.06,6,4,0.71,,0.12,C,,,,,,Simbad,270.5056,-22.8065
2G3264126+0001683,2G3264126+0001683,326.4126,0.0168,0.22,0.55,0.38,0.47,0.11,88,92,0.73,0.09,0.14,R,,1G326411+000166,,,,Simbad,236.4538,-54.7021
2G0274731-0014073,2G0274731-0014073,27.4731,-0.1407,0.49,5.08,4.45,4.77,0.42,54,99,0.48,,0.27,C,,,G027.480-00.146,,,Simbad,280.4899,-4.9211
2G0386295-0022666,2G0386295-0022666,38.6295,-0.2267,0.27,1.09,0.87,0.99,0.31,18,143,0.6,0.29,0.26,R,,1G038635-002260,G038.643-00.227,9.0,,Simbad,285.6666,4.9652
2G0419081-0012510,2G0419081-0012510,41.9081,-0.1251,0.48,1.68,1.37,1.53,0.3,22,88,0.57,0.07,0.31,R,,1G041910-001259,G041.927-00.125,11.4,,Simbad,287.0913,7.9242
2G0494765-0032910,2G0494765-0032910,49.4765,-0.3291,0.21,0.52,0.4,0.46,0.13,2,122,0.64,0.12,0.17,R,,1G049477-003293,G049.473-00.329,5.5,,Simbad,290.8733,14.5255
2G3198704-0035065,2G3198704-0035065,319.8704,-0.3507,0.6,0.67,0.53,0.6,0.37,60,44,0.62,0.06,0.08,C,,,G319.872-00.352,,,Simbad,226.9323,-58.6664
2G3432293-0005518,2G3432293-0005518,343.2294,-0.0552,0.15,0.59,0.52,0.56,0.15,53,96,0.48,,0.23,C,,,,,,Simbad,254.6504,-42.7835
2G0044852-0014522,2G0044852-0014522,4.4852,-0.1452,0.08,0.34,0.27,0.31,0.04,48,78,0.61,,0.19,C,,,,,,Simbad,269.1221,-25.1565
2G3350353-0040651,2G3350353-0040651,335.0353,-0.4065,0.3,0.6,0.51,0.56,0.13,33,44,0.53,,0.15,C,,,G335.033-00.406,,,Simbad,247.2976,-49.2107
2G3331203+0041752,2G3331203+0041752,333.1203,0.4175,1.96,4.79,3.68,4.27,1.1,41,121,0.64,0.05,0.12,C,,,,,,Simbad,244.3144,-49.9909
2G3500006-0046387,2G3500006-0046387,350.0006,-0.4639,1.43,4.68,4.12,4.41,0.75,170,52,0.47,,0.21,C,,1G350004-004409,G349.981-00.450,,,Simbad,260.3529,-37.5795
2G3530781-0006689,2G3530781-0006689,353.0781,-0.0669,0.14,0.97,0.8,0.89,0.12,62,75,0.57,,0.26,C,,,G353.079-00.068,,,Simbad,262.0885,-34.8105
2G3357525-0016290,2G3357525-0016290,335.7525,-0.1629,0.48,3.28,2.17,2.78,0.28,158,81,0.75,,0.24,C,,1G335757-001661,G335.748-00.165,,,Simbad,247.7783,-48.5224
2G3290971-0065250,2G3290971-0065250,329.0972,-0.6525,0.17,1.45,1.18,1.32,0.16,4,123,0.58,,0.15,C,,1G329098-006509,,,,Simbad,240.7108,-53.5069
2G3039399-0068374,2G3039399-0068374,303.94,-0.6837,0.04,0.21,0.15,0.18,0.03,13,37,0.69,,0.21,C,,1G303940-006828,G303.939-00.684,12.4,,Simbad,195.1221,-63.5377
2G3562434+0006834,2G3562434+0006834,356.2435,0.0683,0.09,0.52,0.33,0.44,0.07,151,104,0.77,,0.21,C,,,,,,Simbad,264.0271,-32.086
2G0284000+0019644,2G0284000+0019644,28.4,0.1965,0.02,0.13,0.11,0.12,0.02,105,61,0.55,,0.18,C,,,,,,Simbad,280.6144,-3.9426
2G3562316+0005525,2G3562316+0005525,356.2316,0.0553,0.89,0.85,0.53,0.7,0.49,38,98,0.78,0.27,0.12,R,,1G356236+000601,G356.232+00.049,,,Simbad,264.0324,-32.103
2G3283759-0028229,2G3283759-0028229,328.3759,-0.2823,0.06,0.89,0.78,0.84,0.09,95,113,0.47,,0.16,C,,,G328.374-00.284,,,Simbad,239.3827,-53.6974
2G3052637-0000268,2G3052637-0000268,305.2637,-0.0027,0.12,0.47,0.41,0.44,0.1,1,116,0.51,0.27,0.16,R,,,G305.265-00.008,7.0,S155,Simbad,197.963,-62.782
2G0273581+0006099,2G0273581+0006099,27.3581,0.061,0.07,0.37,0.24,0.31,0.04,95,74,0.75,,0.24,C,,1G027358+000611,G027.359+00.060,,,Simbad,280.2571,-4.9311
2G0498573-0016157,2G0498573-0016157,49.8573,-0.1616,0.25,1.64,1.12,1.4,0.11,11,44,0.73,,0.14,C,,1G049861-001506,G049.855-00.146,,,Simbad,290.9068,14.9402
2G2982134-0031373,2G2982134-0031373,298.2135,-0.3137,0.65,1.68,1.34,1.52,0.46,30,102,0.61,0.39,0.08,R,,1G298219-003253,G298.224-00.334,11.1,S181,Simbad,182.4905,-62.8049
2G3551332-0041424,2G3551332-0041424,355.1333,-0.4142,1.25,7.86,7.67,7.77,0.79,11,79,0.22,,0.16,C,,1G355133-004133,G355.136-00.427,,CS38,Simbad,263.7975,-33.281
2G3369236-0019157,2G3369236-0019157,336.9237,-0.1916,0.41,1.97,1.58,1.78,0.26,36,74,0.59,0.05,0.27,R,,1G336923-001922,G336.919-00.188,10.8,,Simbad,249.0014,-47.6825
2G3233755+0015406,2G3233755+0015406,323.3756,0.1541,0.55,0.73,0.59,0.67,0.21,15,106,0.59,0.1,0.09,C,,,G323.378+00.162,,,Simbad,231.9686,-56.3775
2G3412714+0006716,2G3412714+0006716,341.2714,0.0672,0.04,0.22,0.19,0.2,0.04,95,87,0.54,,0.28,C,,,G341.270+00.066,,,Simbad,252.8212,-44.2289
2G0214326-0027533,2G0214326-0027533,21.4327,-0.2753,0.11,0.56,0.45,0.51,0.07,43,44,0.6,,0.17,C,,1G021432-002755,G021.433-00.273,,,Simbad,277.8076,-10.3472
2G0560283-0010430,2G0560283-0010430,56.0283,-0.1043,0.56,1.4,1.17,1.29,0.54,20,104,0.55,0.19,0.11,R,,1G056029-001041,G056.033-00.091,,,Simbad,293.9611,20.3829
2G0344449+0005650,2G0344449+0005650,34.445,0.0565,0.26,0.6,0.47,0.54,0.17,179,100,0.62,0.36,0.16,R,,1G034444+000577,G034.443+00.056,,,Simbad,283.4993,1.3724
2G0108874-0005423,2G0108874-0005423,10.8874,-0.0542,0.05,0.29,0.17,0.24,0.05,104,25,0.81,,0.15,C,,1G010888-000505,G010.887-00.054,,,Simbad,272.4484,-19.5402
2G0457748-0037870,2G0457748-0037870,45.7748,-0.3787,0.2,0.79,0.69,0.74,0.13,161,97,0.48,0.11,0.19,R,,1G045774-003790,G045.773-00.378,,,Simbad,289.1362,11.2334
2G3431364-0046415,2G3431364-0046415,343.1364,-0.4642,0.87,6.07,4.82,5.48,0.46,37,38,0.61,,0.15,C,,,G343.147-00.443,,,Simbad,255.0107,-43.1096
2G0162289-0051396,2G0162289-0051396,16.2289,-0.514,0.11,0.54,0.37,0.46,0.06,99,143,0.72,,0.27,C,,1G016229-005130,G016.229-00.514,,,Simbad,275.5376,-15.0625
2G0388589-0052332,2G0388589-0052332,38.8589,-0.5233,0.12,0.26,0.2,0.23,0.09,44,92,0.65,0.08,0.07,C,,,,,,Simbad,286.0368,5.0332
2G3502506-0096325,2G3502506-0096325,350.2507,-0.9633,1.16,2.46,1.84,2.17,0.72,60,102,0.66,0.23,0.11,R,,,G350.253-00.939,,,Simbad,261.0513,-37.6561
2G0092464+0018723,2G0092464+0018723,9.2465,0.1872,0.25,1.0,0.79,0.9,0.21,174,119,0.61,0.17,0.19,R,,1G009246+001883,G009.250+00.189,,CN127,Simbad,271.3734,-20.8566
2G0238681-0009906,2G0238681-0009906,23.8681,-0.0991,0.19,0.83,0.5,0.69,0.09,23,16,0.8,,0.14,C,,1G023870-000986,,,,Simbad,278.7879,-8.1053
2G3067360-0010305,2G3067360-0010305,306.736,-0.1031,0.29,1.35,0.99,1.18,0.16,170,73,0.68,,0.14,C,,1G306736-000904,G306.739-00.108,,,Simbad,201.1848,-62.7286
2G3532720+0059519,2G3532720+0059519,353.2721,0.5952,0.67,5.79,4.34,5.11,0.42,64,135,0.66,,0.39,C,,,G353.272+00.590,,CS59,Simbad,261.552,-34.2807
2G0344746-0002053,2G0344746-0002053,34.4746,-0.0205,0.23,1.55,1.21,1.39,0.19,170,40,0.63,,0.16,C,,1G034473-000169,G034.469-00.020,,,Simbad,283.5813,1.3636
2G2990688+0021627,2G2990688+0021627,299.0689,0.2163,0.82,2.53,1.76,2.18,0.5,35,80,0.72,,0.27,C,,1G299064+002144,,,,Simbad,184.4969,-62.4043
2G3408396-0003594,2G3408396-0003594,340.8397,-0.0359,0.07,0.53,0.47,0.5,0.1,163,86,0.47,,0.26,C,,,G340.840-00.039,,,Simbad,252.5461,-44.6269
2G3579138-0033206,2G3579138-0033206,357.9138,-0.3321,0.14,0.44,0.37,0.4,0.11,21,77,0.52,0.16,0.13,R,,1G357914-003315,G357.912-00.331,,,Simbad,265.469,-30.8866
2G0378696-0039654,2G0378696-0039654,37.8696,-0.3966,0.09,0.27,0.19,0.23,0.05,42,106,0.72,0.19,0.14,R,,,G037.872-00.399,9.5,,Simbad,285.4691,4.2119
2G3367000-0007912,2G3367000-0007912,336.7,-0.0791,0.04,0.27,0.15,0.22,0.02,85,58,0.82,,0.36,C,,,G336.700-00.076,,,Simbad,248.6535,-47.7715
2G0154813-0038847,2G0154813-0038847,15.4813,-0.3885,0.12,0.73,0.72,0.73,0.1,139,60,0.12,,0.24,C,,1G015480-003878,G015.480-00.387,,,Simbad,275.0578,-15.663
2G0329899+0004024,2G0329899+0004024,32.99,0.0402,0.1,0.23,0.21,0.22,0.1,42,99,0.48,0.25,0.12,R,,,G032.990+00.040,8.6,N58,Simbad,282.8502,0.07
2G0316214-0022523,2G0316214-0022523,31.6215,-0.2252,0.37,2.03,1.73,1.89,0.24,17,62,0.52,,0.25,C,,1G031621-002231,G031.612-00.226,,,Simbad,282.4623,-1.2689
2G0084651+0012081,2G0084651+0012081,8.4652,0.1208,0.25,1.57,1.29,1.44,0.17,62,86,0.57,0.27,0.35,R,,1G008465+001211,G008.462+00.122,,CN115,Simbad,271.0246,-21.5701
2G0485787+0003854,2G0485787+0003854,48.5788,0.0386,0.39,0.74,0.5,0.63,0.26,0,106,0.74,0.13,0.23,R,,1G048578+000409,,,,Simbad,290.1025,13.9068
2G3513424-0005552,2G3513424-0005552,351.3424,-0.0555,0.42,1.44,0.98,1.23,0.37,111,123,0.73,,0.13,C,,,,,,Simbad,260.8835,-36.2426
2G3142380+0097882,2G3142380+0097882,314.238,0.9788,0.08,0.44,0.23,0.35,0.09,46,51,0.85,,0.13,C,,,,,,Simbad,215.8383,-59.8599
2G0261058-0022926,2G0261058-0022926,26.1058,-0.2293,0.21,0.93,0.67,0.81,0.14,66,94,0.7,,0.2,C,,1G026106-002258,G026.108-00.228,,,Simbad,279.9401,-6.1773
2G0089112-0048213,2G0089112-0048213,8.9112,-0.4821,1.28,2.36,1.45,1.95,0.59,16,76,0.79,,0.28,C,,1G008906-004651,G008.901-00.469,,CN125,Simbad,271.8244,-21.4758
2G0293500-0042038,2G0293500-0042038,29.3501,-0.4204,0.29,1.19,0.9,1.05,0.14,29,78,0.65,,0.15,C,,,G029.348-00.426,,,Simbad,281.5992,-3.3793
2G0233930-0061344,2G0233930-0061344,23.393,-0.6135,0.08,0.9,0.81,0.86,0.34,27,87,0.42,,0.14,C,,1G023394-006126,G023.393-00.613,,,Simbad,279.0287,-8.7637
2G3272904-0052635,2G3272904-0052635,327.2904,-0.5264,0.23,0.9,0.76,0.83,0.16,19,78,0.53,0.06,0.08,C,,1G327296-005328,,,,Simbad,238.2249,-54.5793
2G3433326-0007799,2G3433326-0007799,343.3327,-0.078,0.3,0.88,0.6,0.76,0.15,74,68,0.73,0.14,0.1,R,,,,,,Simbad,254.7619,-42.7166
2G0200706+0030490,2G0200706+0030490,20.0707,0.3049,0.14,0.93,0.83,0.88,0.13,52,83,0.45,,0.14,C,,1G020071+003047,G020.068+00.305,,,Simbad,276.6406,-11.2841
2G0443775+0045701,2G0443775+0045701,44.3775,0.457,0.06,0.36,0.26,0.31,0.05,39,30,0.67,,0.2,C,,1G044378+004573,G044.378+00.457,,,Simbad,287.7223,10.3836
2G0140245+0010722,2G0140245+0010722,14.0245,0.1072,0.13,0.34,0.28,0.31,0.07,85,91,0.56,0.16,0.08,R,,1G014024+001061,G014.024+00.106,,,Simbad,273.8841,-16.7106
2G0181454+0017911,2G0181454+0017911,18.1454,0.1791,0.1,0.55,0.45,0.5,0.07,45,69,0.58,,0.27,C,,1G018146+001795,G018.144+00.180,,,Simbad,275.8339,-13.0449
2G0321631+0002576,2G0321631+0002576,32.1632,0.0258,1.01,4.59,3.55,4.1,0.59,36,99,0.63,,0.26,C,,1G032149+000372,G032.181+00.015,7.2,,Simbad,282.486,-0.6724
2G0439201-0082839,2G0439201-0082839,43.9201,-0.8284,1.02,2.32,1.77,2.06,0.55,165,51,0.64,,0.18,C,,1G043920-008216,G043.935-00.832,,,Simbad,288.6634,9.3827
2G3565618-0008034,2G3565618-0008034,356.5618,-0.0803,0.16,0.73,0.56,0.65,0.08,11,101,0.65,,0.43,C,,1G356562-000829,G356.560-00.086,,CS26,Simbad,264.3765,-31.8975
2G2986984-0001046,2G2986984-0001046,298.6985,-0.0105,0.78,2.61,1.7,2.2,0.38,61,58,0.76,,0.13,C,,1G298692-000266,G298.694-00.005,,,Simbad,183.6356,-62.5786
2G3378314+0005548,2G3378314+0005548,337.8314,0.0555,0.66,1.6,1.22,1.43,0.44,40,97,0.65,,0.16,C,,1G337825+000519,G337.827+00.056,,,Simbad,249.6284,-46.8435
2G0367310-0030429,2G0367310-0030429,36.731,-0.3043,0.48,2.0,1.69,1.85,0.36,59,66,0.54,,0.17,C,,1G036734-003015,G036.737-00.301,,,Simbad,284.8649,3.2416
2G3026112-0007050,2G3026112-0007050,302.6112,-0.0705,0.33,5.85,3.11,4.69,0.37,153,71,0.85,,0.14,C,,1G302620-000837,G302.586-00.029,,,Simbad,192.1545,-62.9405
2G0288924-0079185,2G0288924-0079185,28.8925,-0.7919,0.09,0.33,0.26,0.3,0.05,42,84,0.63,,0.13,C,,1G028893-007917,G028.893-00.792,,,Simbad,281.7212,-3.9559
2G0512496+0054722,2G0512496+0054722,51.2497,0.5472,0.17,0.62,0.44,0.54,0.09,158,102,0.7,0.33,0.16,R,,1G051249+005475,G051.248+00.544,,,Simbad,290.9418,16.5023
2G0340327+0004927,2G0340327+0004927,34.0327,0.0493,0.17,0.92,0.53,0.75,0.11,58,37,0.82,,0.17,C,,,G034.041+00.052,11.6,,Simbad,283.3176,1.0022
2G0095945-0014342,2G0095945-0014342,9.5946,-0.1434,0.15,0.79,0.71,0.75,0.09,178,98,0.44,,0.13,C,,1G009596-001436,G009.594-00.145,,,Simbad,271.8637,-20.714
2G0218713-0003819,2G0218713-0003819,21.8714,-0.0382,0.15,1.19,1.12,1.15,0.1,29,82,0.34,,0.17,C,,1G021873-000357,G021.872-00.044,14.2,,Simbad,277.8003,-9.8485
2G0308447+0014003,2G0308447+0014003,30.8447,0.14,0.27,0.97,0.76,0.87,0.22,34,57,0.63,0.12,0.16,R,,1G030845+001399,G030.847+00.140,,,Simbad,281.7828,-1.7936
2G3336175-0013981,2G3336175-0013981,333.6176,-0.1398,1.22,3.12,2.54,2.84,0.74,27,82,0.58,0.19,0.15,R,,,,,,Simbad,245.4744,-50.039
2G3511734+0070897,2G3511734+0070897,351.1734,0.709,0.89,1.63,1.11,1.39,0.41,6,118,0.73,0.09,0.08,C,,,G351.170+00.704,,CS89,Simbad,259.9862,-35.9471
