,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G0176251+0004813,2G0176251+0004813,17.6252,0.0481,0.1,0.39,0.32,0.36,0.1,172,128,0.54,0.42,0.36,R,,1G017626+000493,G017.625+00.048,,,Simbad,275.702,-13.5658
2G0327305+0021206,2G0327305+0021206,32.7305,0.2121,0.17,0.56,0.51,0.53,0.1,178,118,0.42,0.13,0.28,R,,1G032731+002120,G032.733+00.209,13.2,,Simbad,282.5789,-0.0825
2G3526000-0018397,2G3526000-0018397,352.6,-0.184,0.63,1.19,0.98,1.09,0.49,20,97,0.57,0.35,0.17,R,,1G352598-001860,G352.597-00.188,,CS70,Simbad,261.8832,-35.2731
2G0454086-0050992,2G0454086-0050992,45.4087,-0.5099,0.25,0.65,0.39,0.54,0.16,55,56,0.8,,0.22,C,,1G045409-005108,G045.406-00.513,,,Simbad,289.0806,10.8484
2G3056881+0009793,2G3056881+0009793,305.6881,0.0979,0.17,0.85,0.76,0.8,0.14,72,100,0.46,0.13,0.17,R,,1G305687+000984,G305.685+00.096,,,Simbad,198.8664,-62.6452
2G0298888-0000388,2G0298888-0000388,29.8889,-0.0039,0.07,0.67,0.37,0.54,0.05,89,44,0.83,,0.28,C,,1G029887-000017,G029.889-00.007,,,Simbad,281.4744,-2.7098
2G3532194-0025383,2G3532194-0025383,353.2194,-0.2538,0.4,1.44,1.31,1.38,0.4,25,79,0.41,0.23,0.07,R,,1G353221-002500,G353.221-00.243,,CS60,Simbad,262.3734,-34.7962
2G2974946-0076141,2G2974946-0076141,297.4947,-0.7614,0.61,1.86,1.53,1.71,0.48,30,95,0.57,0.34,0.12,R,,1G297498-007625,G297.497-00.758,10.2,,Simbad,180.7625,-63.1212
2G0124166+0053860,2G0124166+0053860,12.4167,0.5386,0.11,0.57,0.4,0.49,0.17,150,65,0.72,,0.16,C,,1G012417+005383,G012.418+00.539,,,Simbad,272.6801,-17.9148
2G0244950+0024940,2G0244950+0024940,24.495,0.2494,0.87,3.69,2.85,3.3,0.64,41,12,0.64,,0.28,C,,1G024495+002399,G024.507+00.239,8.8,N35,Simbad,278.7669,-7.3883
2G3223977+0020201,2G3223977+0020201,322.3977,0.202,0.28,0.7,0.59,0.65,0.36,44,99,0.53,0.19,0.29,R,,1G322398+002040,G322.396+00.201,,,Simbad,230.4383,-56.8775
2G0128050-0031229,2G0128050-0031229,12.805,-0.3123,0.05,0.24,0.23,0.23,0.07,9,87,0.3,0.34,0.24,R,,1G012805-003119,G012.805-00.312,,N8,Simbad,273.6607,-17.9825
2G0371955-0042961,2G0371955-0042961,37.1955,-0.4296,0.1,0.43,0.38,0.4,0.1,59,88,0.46,0.28,0.56,R,D,1G037196-004296,G037.200-00.430,11.0,,Simbad,285.1893,3.5974
2G3511722+0048064,2G3511722+0048064,351.1723,0.4806,1.6,3.06,2.43,2.76,1.0,11,106,0.61,0.2,0.53,R,,1G351170+004718,,,CS90,Simbad,260.2172,-36.0785
2G3114943+0041581,2G3114943+0041581,311.4944,0.4158,0.04,0.16,0.12,0.14,0.03,156,96,0.62,0.11,0.13,R,D,1G311495+004153,,,S132,Simbad,210.8915,-61.2511
2G0233329-0044142,2G0233329-0044142,23.333,-0.4414,0.27,0.7,0.44,0.59,0.12,61,60,0.78,0.09,0.18,R,,1G023335-004406,G023.326-00.437,,,Simbad,278.8461,-8.7379
2G0135360-0018438,2G0135360-0018438,13.536,-0.1844,0.12,0.6,0.42,0.52,0.07,96,100,0.71,,0.35,C,,1G013536-001828,,,,Simbad,273.9087,-17.279
