,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3574598+0061122,2G3574598+0061122,357.4599,0.6112,0.34,0.76,0.56,0.67,0.25,14,108,0.68,0.28,0.21,R,,1G357461+006093,G357.462+00.605,,CS22,Simbad,264.2577,-30.7686
2G3519206+0064400,2G3519206+0064400,351.9206,0.644,0.11,0.47,0.28,0.38,0.05,30,121,0.8,,0.16,C,,1G351922+006422,G351.922+00.638,,CS75,Simbad,260.5758,-35.3701
2G0083605-0029806,2G0083605-0029806,8.3606,-0.2981,0.46,1.21,1.05,1.13,0.32,57,123,0.51,0.18,0.4,R,D,1G008354-002977,G008.358-00.295,,CN114,Simbad,271.3625,-21.8666
2G0249634+0025599,2G0249634+0025599,24.9635,0.256,0.07,0.3,0.28,0.29,0.06,47,106,0.37,0.27,0.29,R,,1G024964+002566,G024.964+00.257,,,Simbad,278.9783,-6.9693
2G3346430+0043974,2G3346430+0043974,334.6431,0.4397,0.19,0.75,0.71,0.73,0.21,41,115,0.34,0.16,0.36,R,,1G334644+004391,G334.646+00.442,,S43,Simbad,245.9539,-48.9031
2G0118250+0083947,2G0118250+0083947,11.825,0.8395,0.17,0.46,0.35,0.41,0.1,43,86,0.65,0.14,0.26,R,,,G011.823+00.837,,,Simbad,272.102,-18.2871
2G3332526+0006757,2G3332526+0006757,333.2527,0.0676,0.13,0.76,0.5,0.64,0.08,15,61,0.75,,0.67,C,,1G333256+000644,G333.255+00.065,,,Simbad,244.8428,-50.1487
2G3306576+0057680,2G3306576+0057680,330.6577,0.5768,0.1,0.35,0.21,0.29,0.13,84,75,0.8,0.17,0.28,R,,1G330659+005769,G330.656+00.577,,,Simbad,241.2919,-51.552
2G0562494-0015751,2G0562494-0015751,56.2494,-0.1575,0.06,0.26,0.22,0.24,0.04,42,73,0.52,0.25,0.29,R,,,G056.250-00.158,4.7,,Simbad,294.1257,20.55
2G3105200-0021737,2G3105200-0021737,310.5201,-0.2174,0.23,0.43,0.34,0.38,0.18,22,109,0.61,0.28,0.14,R,,1G310519-002172,G310.519-00.220,13.3,,Simbad,209.2616,-62.1187
2G3236811+0063003,2G3236811+0063003,323.6812,0.63,0.26,0.82,0.65,0.74,0.25,70,81,0.61,,0.26,C,,1G323681+006311,G323.680+00.631,,,Simbad,231.9431,-55.8121
2G0431867-0052140,2G0431867-0052140,43.1868,-0.5214,0.15,0.46,0.32,0.39,0.09,47,84,0.72,0.11,0.5,R,,1G043185-005229,G043.185-00.525,8.1,,Simbad,288.0435,8.8754
2G3121517-0031324,2G3121517-0031324,312.1518,-0.3132,0.08,0.38,0.33,0.35,0.06,61,98,0.5,0.23,0.28,R,,1G312152-003132,G312.155-00.314,,S130,Simbad,212.6517,-61.7595
2G3455814-0003513,2G3455814-0003513,345.5815,-0.0351,0.46,1.73,1.72,1.73,0.35,36,77,0.08,0.05,0.2,R,,1G345580-000391,G345.586-00.040,,,Simbad,256.5603,-40.9102
2G3468728+0033006,2G3468728+0033006,346.8728,0.3301,0.07,0.67,0.58,0.63,0.07,26,71,0.48,,0.38,C,,1G346873+003295,G346.873+00.330,17.5,,Simbad,257.1928,-39.658
2G0369080-0030933,2G0369080-0030933,36.9081,-0.3093,0.1,0.42,0.41,0.42,0.07,180,92,0.18,0.12,0.1,C,,1G036910-003084,G036.907-00.310,,,Simbad,284.9505,3.3968
2G3370915-0096271,2G3370915-0096271,337.0915,-0.9627,0.17,1.01,0.86,0.94,0.11,60,60,0.52,,0.41,C,,1G337096-009586,G337.091-00.965,,,Simbad,250.0235,-48.0734
2G0088274-0038467,2G0088274-0038467,8.8274,-0.3847,0.26,0.92,0.73,0.83,0.26,36,95,0.61,0.15,0.29,R,,1G008828-003841,G008.825-00.387,,CN122,Simbad,271.6891,-21.5016
2G0257017+0002527,2G0257017+0002527,25.7018,0.0253,0.2,0.83,0.57,0.71,0.19,10,139,0.73,0.24,0.42,R,,1G025702+000298,G025.700+00.028,10.2,,Simbad,279.5261,-6.4195
2G0209913+0010005,2G0209913+0010005,20.9913,0.1001,0.17,0.6,0.48,0.54,0.1,32,81,0.6,0.16,0.24,R,,1G020991+000963,G020.988+00.092,14.1,,Simbad,277.2614,-10.5643
2G3516589+0051130,2G3516589+0051130,351.6589,0.5113,0.81,2.52,2.16,2.34,0.52,30,72,0.52,,0.43,C,,1G351660+005114,G351.651+00.510,,CS79,Simbad,260.5277,-35.6609
2G3049271+0055563,2G3049271+0055563,304.9271,0.5556,0.22,0.93,0.79,0.86,0.29,43,78,0.54,0.34,0.35,R,,1G304927+005553,G304.925+00.555,4.9,,Simbad,197.1474,-62.2497
2G0141021+0009117,2G0141021+0009117,14.1022,0.0912,0.06,0.35,0.26,0.31,0.04,9,60,0.69,,0.17,C,,,G014.103+00.091,,,Simbad,273.9374,-16.6499
2G0283195-0002341,2G0283195-0002341,28.3195,-0.0234,0.43,0.93,0.58,0.78,0.23,160,131,0.78,0.13,0.11,R,,1G028314-000245,G028.312-00.031,,,Simbad,280.7736,-4.1148
2G3267235+0077431,2G3267235+0077431,326.7236,0.7743,0.5,1.34,1.06,1.21,0.26,59,69,0.62,0.1,0.45,R,,1G326725+007745,G326.721+00.773,,,Simbad,236.0814,-53.9126
2G3090528+0017024,2G3090528+0017024,309.0528,0.1703,1.52,4.57,3.67,4.14,1.09,45,101,0.6,0.35,0.42,R,,1G309059+001661,G309.075+00.172,5.4,S143,Simbad,206.0197,-62.0742
2G3329829+0077611,2G3329829+0077611,332.983,0.7761,0.68,2.43,1.94,2.2,0.48,54,101,0.6,0.03,0.3,R,P,1G332975+007756,G332.978+00.773,,,Simbad,243.7746,-49.8277
2G3174585-0053063,2G3174585-0053063,317.4585,-0.5306,0.11,0.36,0.27,0.32,0.07,52,67,0.66,0.08,0.33,R,,1G317462-005276,G317.458-00.533,15.0,,Simbad,222.933,-59.9653
2G0181660+0033629,2G0181660+0033629,18.166,0.3363,0.05,0.23,0.22,0.23,0.07,27,111,0.33,0.35,0.14,R,,1G018166+003368,G018.165+00.337,,,Simbad,275.7013,-12.953
2G0368796+0049858,2G0368796+0049858,36.8796,0.4986,0.04,0.16,0.14,0.15,0.03,170,83,0.48,0.1,0.32,R,,,,,,Simbad,284.2173,3.7405
2G3382827-0036667,2G3382827-0036667,338.2828,-0.3667,0.2,0.68,0.58,0.63,0.13,95,88,0.52,0.13,0.19,R,,1G338283-003672,G338.289-00.373,,,Simbad,250.5276,-46.7858
2G3490903+0007443,2G3490903+0007443,349.0903,0.0744,0.45,1.1,0.86,0.99,0.24,30,84,0.62,0.03,0.41,R,,1G349091+000756,G349.090+00.071,,S3,Simbad,259.1334,-38.0154
2G0412322-0019869,2G0412322-0019869,41.2322,-0.1987,0.1,0.42,0.3,0.37,0.09,43,70,0.69,0.11,0.18,R,,1G041232-001989,G041.232-00.203,,,Simbad,286.8433,7.2903
2G0062015-0033631,2G0062015-0033631,6.2015,-0.3363,0.22,1.04,0.79,0.92,0.16,58,65,0.64,,0.39,C,,1G006200-003369,G006.200-00.342,,CN79,Simbad,270.2451,-23.7646
2G0447768-0054989,2G0447768-0054989,44.7768,-0.5499,0.19,0.83,0.65,0.75,0.23,12,93,0.62,0.29,0.35,R,,1G044777-005495,G044.775-00.549,,N93,Simbad,288.8173,10.2706
2G3142336+0043597,2G3142336+0043597,314.2336,0.436,0.54,1.63,1.31,1.48,0.34,45,135,0.6,0.07,0.26,R,,1G314234+004579,G314.239+00.428,5.9,,Simbad,216.2115,-60.3699
2G3029224-0042937,2G3029224-0042937,302.9225,-0.4294,0.19,0.66,0.48,0.58,0.2,172,90,0.68,0.1,0.13,R,,1G302923-004295,G302.924-00.432,,,Simbad,192.8385,-63.3011
2G0149246+0002260,2G0149246+0002260,14.9247,0.0226,0.14,0.35,0.25,0.3,0.17,61,119,0.72,0.08,0.13,R,,,G014.924+00.022,,,Simbad,274.4077,-15.9589
2G0152053+0020627,2G0152053+0020627,15.2053,0.2063,0.33,0.63,0.51,0.57,0.18,30,128,0.58,0.08,0.36,R,,1G015206+002045,G015.205+00.201,,,Simbad,274.378,-15.6248
2G0033910+0088220,2G0033910+0088220,3.3911,0.8822,0.34,0.64,0.5,0.57,0.28,34,117,0.62,0.16,0.16,R,,1G003392+008807,G003.391+00.883,,CN40,Simbad,267.5277,-25.5774
2G0372600-0008225,2G0372600-0008225,37.2601,-0.0823,0.37,0.67,0.44,0.56,0.22,11,88,0.75,0.33,0.22,R,,1G037261-000809,G037.259-00.083,10.8,,Simbad,284.9094,3.8137
2G0127353+0068634,2G0127353+0068634,12.7354,0.6864,0.15,0.49,0.35,0.43,0.12,42,114,0.7,0.06,0.1,C,,1G012736+006870,G012.736+00.686,,,Simbad,272.7055,-17.5643
2G3107663-0040082,2G3107663-0040082,310.7664,-0.4008,0.1,0.42,0.29,0.36,0.09,23,59,0.71,0.21,0.15,R,,1G310765-003999,G310.766-00.403,,,Simbad,209.8722,-62.233
2G3109817+0040850,2G3109817+0040850,310.9818,0.4085,0.4,3.07,2.45,2.77,0.47,38,65,0.6,0.28,0.64,R,,1G310982+004071,G310.983+00.404,4.4,S137,Simbad,209.8664,-61.3955
2G3296579-0048537,2G3296579-0048537,329.6579,-0.4854,0.29,1.41,1.21,1.31,0.53,176,129,0.51,0.54,0.15,R,,1G329657-004866,G329.656-00.486,,S69,Simbad,241.2277,-53.0102
2G0186285+0030832,2G0186285+0030832,18.6286,0.3083,0.12,0.51,0.31,0.42,0.13,61,74,0.79,0.26,0.37,R,,1G018628+003098,G018.630+00.309,,,Simbad,275.949,-12.5575
2G3549801-0053121,2G3549801-0053121,354.9801,-0.5312,0.47,1.48,1.2,1.34,0.47,39,101,0.59,0.41,0.52,R,,1G354981-005283,G354.979-00.527,,CS39,Simbad,263.8162,-33.4731
2G0275224+0019978,2G0275224+0019978,27.5225,0.1998,0.27,1.38,0.94,1.18,0.18,11,149,0.73,0.16,0.3,R,,1G027518+002015,G027.518+00.200,,,Simbad,280.2088,-4.7214
2G3056599+0049508,2G3056599+0049508,305.66,0.4951,0.09,0.56,0.35,0.47,0.05,16,27,0.77,,0.18,C,,1G305660+004962,G305.663+00.494,,,Simbad,198.7268,-62.2523
2G3465188+0008746,2G3465188+0008746,346.5189,0.0875,0.35,0.65,0.53,0.6,0.22,59,92,0.59,0.15,0.24,R,,1G346520+000875,G346.521+00.086,17.5,,Simbad,257.171,-40.0867
2G0196761-0013237,2G0196761-0013237,19.6761,-0.1324,0.2,0.42,0.23,0.34,0.1,18,70,0.84,,0.23,C,,1G019680-001298,G019.677-00.134,11.9,,Simbad,276.8481,-11.8369
2G0138987-0001375,2G0138987-0001375,13.8987,-0.0138,0.17,0.53,0.4,0.47,0.17,78,94,0.66,0.34,0.4,R,,1G013899-000113,G013.899-00.014,,N13,Simbad,273.9326,-16.8789
2G3369195+0005706,2G3369195+0005706,336.9195,0.0571,0.43,0.73,0.5,0.62,0.17,30,84,0.73,0.17,0.17,R,,1G336912+000568,G336.922+00.062,,,Simbad,248.7251,-47.5178
2G0516149-0035992,2G0516149-0035992,51.6149,-0.3599,0.45,0.73,0.44,0.6,0.15,25,92,0.8,0.11,0.12,C,,,G051.610-00.357,,,Simbad,291.9549,16.3928
2G3383619-0001939,2G3383619-0001939,338.362,-0.0194,0.12,0.49,0.43,0.47,0.12,165,138,0.48,0.27,0.24,R,,1G338363-000216,G338.364-00.020,,S33,Simbad,250.224,-46.4969
2G0320558+0007774,2G0320558+0007774,32.0558,0.0777,0.3,0.68,0.6,0.64,0.16,39,101,0.48,0.05,0.36,R,,1G032057+000783,G032.057+00.077,7.2,,Simbad,282.3908,-0.7443
2G3221468+0064533,2G3221468+0064533,322.1469,0.6453,1.4,1.61,1.01,1.34,0.61,17,106,0.78,0.19,0.13,R,,1G322154+006351,,,,Simbad,229.6177,-56.6386
2G0419307+0003246,2G0419307+0003246,41.9308,0.0325,0.31,1.59,1.27,1.44,0.29,50,66,0.61,0.41,0.51,R,,1G041931+000351,G041.929+00.030,11.3,N80,Simbad,286.9606,8.017
2G3323784+0008000,2G3323784+0008000,332.3784,0.08,0.18,0.87,0.76,0.82,0.18,55,108,0.49,0.1,0.25,R,,1G332379+000796,G332.382+00.080,,S53,Simbad,243.8439,-50.7487
2G0530857+0009891,2G0530857+0009891,53.0857,0.0989,0.09,0.49,0.44,0.47,0.06,164,115,0.44,0.11,0.32,R,,1G053087+000988,G053.084+00.097,,,Simbad,292.2688,17.9041
2G0190659-0027668,2G0190659-0027668,19.066,-0.2767,0.2,0.67,0.51,0.59,0.2,1,82,0.65,0.31,0.35,R,,1G019065-002781,G019.064-00.282,4.6,,Simbad,276.6881,-12.444
2G0303635-0026360,2G0303635-0026360,30.3635,-0.2636,1.76,4.31,2.93,3.69,1.05,12,88,0.73,0.12,0.35,R,,1G030354-002611,G030.338-00.252,8.2,,Simbad,281.9225,-2.406
2G0102362-0007925,2G0102362-0007925,10.2362,-0.0793,0.38,1.54,1.1,1.33,0.27,56,96,0.7,,0.18,C,,1G010238-000771,G010.237-00.080,,,Simbad,272.1365,-20.1221
2G0437223+0012010,2G0437223+0012010,43.7224,0.1201,0.52,1.75,1.18,1.49,0.25,176,43,0.74,,0.15,C,,1G043734+001170,G043.730+00.114,6.1,N89,Simbad,287.7183,9.647
2G0099679-0020873,2G0099679-0020873,9.9679,-0.2087,0.02,0.19,0.15,0.17,0.02,134,81,0.58,,0.39,C,,,,,CN141,Simbad,272.1184,-20.4194
2G0415141+0003094,2G0415141+0003094,41.5142,0.0309,0.41,1.46,1.11,1.3,0.4,11,103,0.65,0.33,0.42,R,,1G041519+000375,G041.512+00.021,11.6,N79,Simbad,286.7685,7.6464
2G0303478+0009023,2G0303478+0009023,30.3478,0.0902,0.1,0.3,0.27,0.28,0.16,18,114,0.45,0.24,0.2,R,,,G030.348+00.090,7.3,,Simbad,281.6002,-2.2585
2G0424237-0027418,2G0424237-0027418,42.4238,-0.2742,0.48,1.46,1.07,1.28,0.25,73,73,0.68,,0.23,C,,1G042426-002691,G042.434-00.275,8.1,,Simbad,287.4651,8.3131
2G3501160+0012729,2G3501160+0012729,350.1161,0.1273,0.09,0.22,0.14,0.19,0.05,58,73,0.76,,0.22,C,,,G350.117+00.126,,,Simbad,259.8255,-37.1469
2G0280071+0031709,2G0280071+0031709,28.0072,0.3171,0.3,1.76,1.34,1.57,0.24,81,112,0.65,,0.51,C,,1G028006+003153,G027.997+00.317,9.4,,Simbad,280.3267,-4.2367
2G3428279-0003121,2G3428279-0003121,342.828,-0.0312,0.08,0.25,0.2,0.23,0.07,10,100,0.63,0.14,0.14,R,,,G342.829-00.032,,,Simbad,254.2836,-43.0828
2G3269575-0031107,2G3269575-0031107,326.9575,-0.3111,0.59,0.8,0.57,0.69,0.44,25,124,0.71,0.15,0.27,R,,,G326.947-00.311,,,Simbad,237.5444,-54.6217
2G3127017+0000922,2G3127017+0000922,312.7018,0.0092,0.35,1.54,1.1,1.34,0.26,33,83,0.7,0.09,0.37,R,,1G312704+000140,G312.706+00.012,,S126,Simbad,213.541,-61.2835
2G3454828+0039977,2G3454828+0039977,345.4829,0.3998,0.4,2.22,2.04,2.13,0.32,49,93,0.4,0.25,0.57,R,,1G345484+004011,G345.486+00.399,,S11,Simbad,256.024,-40.7254
2G0265576-0029669,2G0265576-0029669,26.5576,-0.2967,0.09,0.37,0.3,0.34,0.03,53,45,0.6,,0.23,C,,1G026557-002997,,,,Simbad,280.2084,-5.8065
2G3092894-0062387,2G3092894-0062387,309.2894,-0.6239,0.27,0.6,0.44,0.53,0.22,40,126,0.67,0.2,0.17,R,,1G309288-006229,G309.285-00.629,,,Simbad,206.8786,-62.8014
2G3459931-0002014,2G3459931-0002014,345.9932,-0.0201,0.33,0.51,0.34,0.43,0.12,156,87,0.75,0.07,0.08,C,,1G345995-000246,G345.997-00.024,,,Simbad,256.8713,-40.5723
2G3127386-0071772,2G3127386-0071772,312.7387,-0.7177,0.39,0.53,0.37,0.46,0.3,6,114,0.72,0.14,0.09,R,,,G312.739-00.717,,,Simbad,214.1016,-61.9608
2G0303412+0038042,2G0303412+0038042,30.3413,0.3804,0.15,0.55,0.45,0.5,0.17,52,72,0.6,0.18,0.19,R,,1G030342+003810,G030.339+00.381,,,Simbad,281.3388,-2.1318
2G3523949-0006477,2G3523949-0006477,352.395,-0.0648,0.54,0.95,0.74,0.85,0.43,41,102,0.62,0.3,0.29,R,,1G352393-000667,G352.393-00.066,,CS71,Simbad,261.6218,-35.3769
2G0392473-0006156,2G0392473-0006156,39.2473,-0.0616,0.06,0.4,0.3,0.35,0.03,159,95,0.68,,0.24,C,,1G039248-000574,G039.248-00.064,11.6,,Simbad,285.8035,5.59
2G0596103+0091680,2G0596103+0091680,59.6103,0.9168,0.05,0.23,0.2,0.21,0.04,5,111,0.47,0.24,0.47,R,,,G059.612+00.917,4.3,,Simbad,294.8937,24.0061
2G0531737+0014982,2G0531737+0014982,53.1738,0.1498,0.23,1.38,0.85,1.14,0.23,176,107,0.79,0.31,0.33,R,,1G053174+001497,G053.175+00.150,9.7,,Simbad,292.2661,18.0058
2G0193618-0001562,2G0193618-0001562,19.3619,-0.0156,0.07,0.35,0.26,0.31,0.06,43,40,0.69,,0.22,C,,1G019362-000130,G019.360-00.014,,,Simbad,276.5928,-12.0605
2G3439131+0011560,2G3439131+0011560,343.9131,0.1156,0.1,0.45,0.26,0.37,0.08,85,87,0.81,0.17,0.31,R,,1G343910+001145,G343.912+00.116,17.4,,Simbad,255.0418,-42.1407
2G3325262-0012004,2G3325262-0012004,332.5262,-0.12,0.08,0.36,0.28,0.32,0.07,34,79,0.62,0.17,0.45,R,,1G332527-001207,,,,Simbad,244.2315,-50.7903
2G3143234+0038091,2G3143234+0038091,314.3234,0.3809,0.23,0.49,0.35,0.43,0.22,48,73,0.69,0.09,0.08,C,,,G314.323+00.384,,,Simbad,216.4209,-60.3896
2G0411228-0023746,2G0411228-0023746,41.1229,-0.2375,0.11,1.34,1.14,1.25,0.11,136,68,0.52,,0.17,C,,,G041.126-00.232,,,Simbad,286.8273,7.1755
2G0036516-0011781,2G0036516-0011781,3.6516,-0.1178,0.36,0.86,0.67,0.77,0.38,15,124,0.63,0.32,0.28,R,,1G003653-001171,G003.650-00.122,,CN43,Simbad,268.6302,-25.8626
2G0349980+0033339,2G0349980+0033339,34.9981,0.3334,0.34,2.06,1.75,1.91,0.31,179,100,0.53,0.25,0.41,R,,1G035001+003318,G034.997+00.330,2.3,N65,Simbad,283.5051,1.9909
2G3497776+0011709,2G3497776+0011709,349.7776,0.1171,0.12,0.5,0.38,0.45,0.09,15,76,0.66,,0.47,C,,1G349777+001167,G349.776+00.116,,CS117,Simbad,259.5914,-37.4297
2G0564054+0042573,2G0564054+0042573,56.4054,0.4257,0.34,1.09,0.83,0.97,0.29,32,85,0.65,0.38,0.27,R,,1G056410+004257,G056.412+00.423,9.9,,Simbad,293.6621,20.9702
2G3179876-0075048,2G3179876-0075048,317.9876,-0.7505,0.64,1.53,1.11,1.34,0.47,163,112,0.69,0.4,0.44,R,,1G317989-007519,G317.988-00.754,,S104,Simbad,224.0735,-59.9212
2G3447764-0021537,2G3447764-0021537,344.7765,-0.2154,0.32,0.37,0.25,0.32,0.22,51,72,0.75,0.14,0.13,R,,,G344.781-00.217,,,Simbad,256.1033,-41.6603
2G0133179-0002401,2G0133179-0002401,13.3179,-0.024,0.08,0.43,0.39,0.41,0.08,41,106,0.42,0.26,0.27,R,,1G013318-000226,G013.317-00.025,,,Simbad,273.652,-17.3942
2G0302510+0023985,2G0302510+0023985,30.251,0.2399,0.13,0.67,0.57,0.62,0.12,171,104,0.53,0.24,0.32,R,,1G030250+002413,G030.249+00.243,,,Simbad,281.4227,-2.2763
2G3402074+0045266,2G3402074+0045266,340.2075,0.4527,2.13,5.92,4.59,5.3,1.4,85,87,0.63,0.06,0.41,R,,1G340197+004444,G340.216+00.424,,,Simbad,251.4469,-44.7946
2G3313202-0017411,2G3313202-0017411,331.3202,-0.1741,0.26,0.75,0.62,0.69,0.17,29,114,0.57,0.08,0.31,R,,1G331321-001758,G331.322-00.176,,,Simbad,242.8948,-51.6602
2G3369988-0003005,2G3369988-0003005,336.9988,-0.0301,0.12,0.25,0.21,0.23,0.06,169,83,0.56,0.08,0.13,R,,,G337.001-00.030,7.8,,Simbad,248.8996,-47.5182
2G0303239-0020620,2G0303239-0020620,30.3239,-0.2062,0.25,1.28,1.04,1.16,0.2,26,71,0.59,,0.21,C,,1G030323-002072,G030.321-00.210,7.3,,Simbad,281.8533,-2.415
2G3351624-0024436,2G3351624-0024436,335.1625,-0.2444,0.39,1.17,0.89,1.04,0.46,13,93,0.65,0.44,0.38,R,,1G335163-002431,G335.168-00.240,,S42,Simbad,247.2524,-49.0067
2G0109642+0000808,2G0109642+0000808,10.9643,0.0081,0.16,0.46,0.31,0.39,0.15,138,112,0.74,0.15,0.18,R,,1G010965+000116,G010.964+00.006,14.1,,Simbad,272.43,-19.4427
2G3114853+0039661,2G3114853+0039661,311.4853,0.3966,0.36,2.03,1.72,1.88,0.39,170,111,0.53,0.4,0.6,R,P,1G311483+003982,G311.489+00.394,5.6,S133 S135 S132,Simbad,210.8843,-61.2721
2G0421043-0062297,2G0421043-0062297,42.1043,-0.623,0.33,1.67,1.55,1.61,0.45,22,105,0.38,0.43,0.5,R,,1G042104-006230,G042.103-00.623,7.7,N82,Simbad,287.6287,7.8686
2G0522527+0070251,2G0522527+0070251,52.2527,0.7025,0.33,1.44,1.24,1.35,0.28,31,117,0.51,0.32,0.4,R,,1G052253+007060,G052.256+00.702,10.0,N114,Simbad,291.2952,17.4592
2G0343335+0021339,2G0343335+0021339,34.3336,0.2134,0.48,1.4,1.22,1.31,0.39,77,117,0.49,0.35,0.49,R,,1G034334+002126,G034.333+00.212,10.0,N62,Simbad,283.3088,1.3448
2G0346968-0064957,2G0346968-0064957,34.6969,-0.6496,0.08,0.55,0.48,0.52,0.09,179,94,0.5,0.19,0.19,R,D,1G034697-006506,G034.697-00.656,,,Simbad,284.2427,1.2744
2G0464699-0023634,2G0464699-0023634,46.4699,-0.2363,0.6,2.07,1.62,1.86,0.3,167,102,0.62,0.27,0.33,R,,1G046481-002389,G046.495-00.241,4.8,,Simbad,289.3386,11.9147
2G0572893-0015249,2G0572893-0015249,57.2893,-0.1525,0.19,0.48,0.38,0.43,0.21,54,70,0.6,0.19,0.2,R,,1G057289-001527,G057.288-00.154,,,Simbad,294.6663,21.4593
2G0230619+0009720,2G0230619+0009720,23.0619,0.0972,0.13,0.33,0.23,0.28,0.08,49,94,0.71,,0.19,C,,,G023.063+00.096,,,Simbad,278.2361,-8.7302
2G3132783-0032819,2G3132783-0032819,313.2783,-0.3282,1.15,1.46,1.16,1.32,0.81,15,96,0.61,0.12,0.16,R,,1G313279-003306,G313.281-00.325,,,Simbad,214.9066,-61.4157
2G0276130+0002835,2G0276130+0002835,27.6131,0.0284,0.04,0.23,0.17,0.2,0.04,15,56,0.68,0.41,0.17,R,,,,,,Simbad,280.4033,-4.7193
2G3452365-0040789,2G3452365-0040789,345.2366,-0.4079,0.38,0.76,0.59,0.68,0.2,6,85,0.64,0.05,0.29,R,,1G345238-004100,G345.236-00.406,,,Simbad,256.6797,-41.4101
2G3144084-0071100,2G3144084-0071100,314.4085,-0.711,0.23,0.85,0.7,0.78,0.24,14,81,0.57,0.3,0.29,R,,1G314409-007115,G314.409-00.708,,,Simbad,217.3978,-61.3763
2G3329546+0077013,2G3329546+0077013,332.9547,0.7701,0.44,1.26,0.92,1.1,0.29,48,55,0.68,,0.28,C,D,,,,,Simbad,243.7493,-49.8516
2G3290937-0030598,2G3290937-0030598,329.0938,-0.306,0.11,0.45,0.36,0.41,0.1,53,68,0.61,0.13,0.07,R,,1G329094-003052,G329.093-00.305,,,Simbad,240.3244,-53.2481
2G0181785+0011053,2G0181785+0011053,18.1785,0.1105,0.05,0.22,0.19,0.21,0.05,59,117,0.47,0.27,0.23,R,,,G018.178+00.110,,,Simbad,275.912,-13.0478
2G3106265-0042914,2G3106265-0042914,310.6266,-0.4291,0.06,0.59,0.55,0.57,0.03,85,56,0.39,,0.28,C,,1G310627-004275,G310.630-00.421,,,Simbad,209.5977,-62.2964
2G3224180+0020660,2G3224180+0020660,322.418,0.2066,0.06,0.34,0.19,0.27,0.08,36,148,0.82,0.2,0.39,R,,1G322418+002071,G322.419+00.208,,S87,Simbad,230.4649,-56.8626
2G3091763-0002725,2G3091763-0002725,309.1763,-0.0272,0.22,0.49,0.29,0.4,0.19,22,149,0.8,0.18,0.12,R,,,G309.176-00.028,,,Simbad,206.3653,-62.2422
2G3507082+0099881,2G3507082+0099881,350.7083,0.9988,0.27,0.82,0.7,0.76,0.33,30,85,0.51,0.15,0.13,R,,,G350.707+00.999,,CS98,Simbad,259.3622,-36.161
2G0495863-0037536,2G0495863-0037536,49.5864,-0.3754,0.2,1.02,0.92,0.97,0.14,50,92,0.44,0.22,0.49,R,D,1G049586-003716,G049.589-00.370,5.5,,Simbad,290.9692,14.6005
2G3093504-0058511,2G3093504-0058511,309.3504,-0.5851,0.2,0.58,0.53,0.55,0.28,47,97,0.43,0.13,0.21,R,,1G309350-005844,G309.350-00.587,,,Simbad,206.9904,-62.7503
2G3459135+0000939,2G3459135+0000939,345.9135,0.0094,0.47,1.18,0.97,1.08,0.37,24,91,0.56,0.26,0.25,R,,1G345913+000107,G345.917+00.004,,S10,Simbad,256.7772,-40.6183
2G3056338-0065031,2G3056338-0065031,305.6338,-0.6503,0.1,0.74,0.55,0.65,0.13,88,111,0.67,0.14,0.27,R,,1G305633-006493,G305.629-00.649,,,Simbad,198.9013,-63.3952
2G3481469+0025376,2G3481469+0025376,348.147,0.2538,0.11,0.38,0.32,0.35,0.16,32,93,0.53,0.21,0.14,R,,1G348148+002548,G348.148+00.256,,,Simbad,258.2457,-38.6766
2G3449442+0020133,2G3449442+0020133,344.9442,0.2013,0.11,0.45,0.33,0.4,0.05,26,57,0.67,,0.13,C,,1G344943+001995,G344.943+00.200,,,Simbad,255.7981,-41.2737
2G0128224-0023752,2G0128224-0023752,12.8225,-0.2375,0.97,1.71,1.34,1.54,0.48,167,126,0.62,0.15,0.24,R,,1G012819-002278,G012.820-00.238,,,Simbad,273.6004,-17.9314
2G3353266+0040948,2G3353266+0040948,335.3266,0.4095,0.42,0.67,0.44,0.57,0.37,159,99,0.76,0.1,0.16,R,,1G335326+004117,G335.326+00.409,,,Simbad,246.71,-48.4354
2G3115821-0059378,2G3115821-0059378,311.5821,-0.5938,0.29,0.74,0.5,0.64,0.21,79,70,0.74,0.16,0.31,R,,1G311582-005910,G311.581-00.593,,,Simbad,211.6685,-62.1953
2G3321490-0043503,2G3321490-0043503,332.1491,-0.435,0.83,1.78,1.45,1.63,0.37,19,89,0.58,0.04,0.15,R,,1G332148-004383,G332.145-00.452,3.7,,Simbad,244.1484,-51.2788
2G0133789+0006491,2G0133789+0006491,13.3789,0.0649,0.23,0.5,0.33,0.43,0.19,35,87,0.75,0.12,0.12,C,,1G013382+000659,G013.384+00.066,,,Simbad,273.6007,-17.2981
2G3281910-0048022,2G3281910-0048022,328.191,-0.4802,0.23,1.11,0.85,0.99,0.18,59,138,0.64,0.23,0.55,R,,1G328193-004780,G328.193-00.479,,,Simbad,239.36,-53.9679
2G3401117+0093415,2G3401117+0093415,340.1117,0.9342,0.13,0.38,0.28,0.33,0.05,179,92,0.67,,0.13,C,,,G340.110+00.936,,,Simbad,250.8462,-44.5526
