,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3425472-0098003,2G3425472-0098003,342.5473,-0.98,0.14,1.01,0.81,0.92,0.11,173,128,0.61,0.18,0.14,R,,,G342.547-00.984,,,Simbad,255.0697,-43.8914
2G3178410+0015146,2G3178410+0015146,317.841,0.1515,0.75,1.3,0.93,1.13,0.34,42,84,0.7,,0.2,C,,,,,,Simbad,223.0074,-59.1841
2G3200982+0074342,2G3200982+0074342,320.0982,0.7434,0.11,0.45,0.3,0.38,0.11,14,134,0.74,0.06,0.35,R,,1G320098+007437,G320.098+00.744,,,Simbad,226.2826,-57.6027
2G3472593+0002260,2G3472593+0002260,347.2593,0.0226,0.54,0.65,0.46,0.56,0.17,45,70,0.7,0.05,0.07,C,,,G347.266+00.020,,,Simbad,257.8119,-39.5299
2G3479792-0046395,2G3479792-0046395,347.9792,-0.464,0.53,2.18,1.58,1.9,0.3,47,59,0.69,,0.23,C,,1G347977-004626,,,,Simbad,258.8682,-39.2325
2G3381470-0017495,2G3381470-0017495,338.147,-0.1749,0.49,1.85,1.47,1.67,0.24,72,117,0.61,0.12,0.1,R,,1G338135-001755,,,,Simbad,250.1864,-46.761
2G0528558-0053213,2G0528558-0053213,52.8558,-0.5321,2.05,5.35,4.61,4.99,1.27,39,112,0.51,0.09,0.26,R,,1G052845-005363,G052.799-00.534,,,Simbad,292.734,17.3996
2G0395847+0000573,2G0395847+0000573,39.5848,0.0057,0.08,0.3,0.23,0.27,0.1,85,56,0.66,,0.13,C,,,G039.585+00.005,,,Simbad,285.8988,5.9208
2G3575595-0055622,2G3575595-0055622,357.5596,-0.5562,0.16,0.41,0.3,0.36,0.18,37,132,0.69,0.11,0.16,R,,1G357560-005549,G357.561-00.556,,,Simbad,265.4729,-31.3058
2G0392914-0032619,2G0392914-0032619,39.2914,-0.3262,0.16,0.66,0.56,0.61,0.13,33,180,0.52,0.19,0.3,R,,1G039292-003259,G039.288-00.326,,,Simbad,286.0601,5.5079
2G3397854+0024403,2G3397854+0024403,339.7855,0.244,0.21,1.03,0.93,0.98,0.17,53,138,0.44,0.14,0.53,R,,1G339784+002461,G339.781+00.243,,,Simbad,251.2822,-45.2507
2G0162898-0016807,2G0162898-0016807,16.2898,-0.1681,0.34,1.84,1.29,1.59,0.25,71,60,0.71,,0.37,C,,1G016297-001733,G016.285-00.171,4.1,,Simbad,275.2513,-14.8461
2G0433057-0008887,2G0433057-0008887,43.3058,-0.0889,0.17,0.47,0.38,0.43,0.15,180,64,0.6,0.1,0.18,R,,1G043306-000863,G043.306-00.090,,,Simbad,287.711,9.181
2G0185209+0031119,2G0185209+0031119,18.521,0.3112,0.02,0.15,0.14,0.15,0.04,86,68,0.39,,0.18,C,,,G018.521+00.310,,,Simbad,275.8947,-12.6512
2G3497331+0017231,2G3497331+0017231,349.7332,0.1723,0.36,0.92,0.68,0.81,0.4,36,62,0.67,,0.17,C,,1G349728+001723,G349.728+00.168,20.0,,Simbad,259.5024,-37.4342
2G3015057+0055376,2G3015057+0055376,301.5057,0.5538,0.5,1.09,0.86,0.98,0.34,44,102,0.62,0.15,0.23,R,,1G301505+005543,G301.504+00.560,,,Simbad,189.7919,-62.284
2G0254576-0021642,2G0254576-0021642,25.4577,-0.2164,0.1,0.41,0.27,0.35,0.11,6,51,0.74,0.15,0.16,R,,,,,,Simbad,279.6296,-6.7473
2G0238487-0012684,2G0238487-0012684,23.8487,-0.1268,0.09,0.33,0.23,0.29,0.05,171,49,0.72,,0.28,C,,1G023849-001251,G023.847-00.128,,,Simbad,278.8037,-8.1352
2G0122152-0013792,2G0122152-0013792,12.2152,-0.1379,0.48,1.02,0.82,0.93,0.23,43,110,0.6,0.07,0.08,C,,,G012.217-00.139,,,Simbad,273.2023,-18.4168
2G3123877-0005621,2G3123877-0005621,312.3878,-0.0562,0.23,0.71,0.44,0.59,0.17,74,79,0.78,0.06,0.15,R,,1G312387-000586,G312.388-00.057,,,Simbad,212.9604,-61.443
2G0454228+0005857,2G0454228+0005857,45.4228,0.0586,0.52,1.5,1.23,1.37,0.42,37,112,0.57,0.08,0.24,R,,1G045432+000594,,,,Simbad,288.5747,11.1254
2G3106662-0044965,2G3106662-0044965,310.6662,-0.4497,0.18,0.84,0.73,0.79,0.15,43,122,0.48,0.18,0.25,R,,1G310670-004461,G310.672-00.450,,S140,Simbad,209.6915,-62.3061
2G0246999-0014878,2G0246999-0014878,24.6999,-0.1488,0.09,0.52,0.36,0.45,0.06,137,98,0.72,,0.22,C,,1G024699-001486,G024.700-00.149,,,Simbad,279.2185,-7.3895
2G3353621+0010969,2G3353621+0010969,335.3622,0.1097,0.06,0.37,0.27,0.33,0.04,159,53,0.69,,0.22,C,,1G335362+001103,G335.361+00.110,,,Simbad,247.0734,-48.6177
2G0067923-0001063,2G0067923-0001063,6.7923,-0.0106,0.06,0.66,0.37,0.54,0.09,157,108,0.83,,0.27,C,,,G006.793-00.010,,,Simbad,270.2559,-23.0901
2G0294772+0024159,2G0294772+0024159,29.4773,0.2416,0.14,0.44,0.34,0.39,0.07,30,55,0.64,,0.17,C,,1G029477+002419,G029.477+00.240,,,Simbad,281.0675,-2.9638
2G0318155-0012045,2G0318155-0012045,31.8156,-0.1205,0.34,1.0,0.76,0.89,0.19,161,99,0.66,,0.2,C,,1G031815-001194,G031.806-00.115,,,Simbad,282.4577,-1.0484
2G0305465+0001398,2G0305465+0001398,30.5466,0.014,0.07,0.26,0.21,0.24,0.04,41,59,0.6,,0.32,C,,,G030.547+00.014,11.4,,Simbad,281.7589,-2.1164
2G0378828-0040196,2G0378828-0040196,37.8829,-0.402,0.07,0.35,0.33,0.34,0.05,55,36,0.35,,0.19,C,,,,,,Simbad,285.48,4.2212
2G0281564-0003288,2G0281564-0003288,28.1564,-0.0329,0.09,0.39,0.35,0.37,0.08,13,102,0.45,0.13,0.14,R,,1G028156-000267,G028.156-00.031,,,Simbad,280.7073,-4.2642
2G3115981-0063362,2G3115981-0063362,311.5981,-0.6336,0.1,0.39,0.25,0.33,0.07,63,23,0.76,,0.18,C,,1G311600-006345,G311.597-00.635,14.7,,Simbad,211.7259,-62.2288
2G3168831-0046886,2G3168831-0046886,316.8831,-0.4689,0.31,2.27,1.57,1.95,0.31,56,125,0.72,,0.14,C,,,G316.892-00.471,,,Simbad,221.8426,-60.1622
2G3311077+0002795,2G3311077+0002795,331.1077,0.0279,0.13,1.15,1.03,1.09,0.13,42,72,0.45,0.21,0.45,R,,1G331107+000278,G331.105+00.024,,S63,Simbad,242.4222,-51.6565
2G3251006+0005285,2G3251006+0005285,325.1006,0.0529,1.51,4.12,3.37,3.76,0.86,62,103,0.57,0.2,0.36,R,,1G325102+000578,G325.108+00.053,,,Simbad,234.5873,-55.4646
2G0119439-0015739,2G0119439-0015739,11.9439,-0.1574,0.27,0.59,0.35,0.49,0.09,146,126,0.8,0.11,0.12,R,,1G011945-001577,G011.948-00.161,,,Simbad,273.083,-18.6642
2G0227298-0023756,2G0227298-0023756,22.7299,-0.2376,0.1,0.53,0.34,0.45,0.06,42,44,0.77,,0.14,C,,1G022733-002335,G022.730-00.239,,,Simbad,278.3817,-9.1793
2G0449090-0072669,2G0449090-0072669,44.9091,-0.7267,0.19,0.99,0.67,0.84,0.13,152,92,0.74,,0.18,C,,1G044910-007244,G044.904-00.733,6.0,,Simbad,289.039,10.3054
2G0485393+0046598,2G0485393+0046598,48.5394,0.466,0.56,3.77,3.28,3.53,0.41,22,115,0.49,0.13,0.22,R,,1G048544+004785,G048.542+00.464,,N99,Simbad,289.6944,14.0724
2G3240672-0081811,2G3240672-0081811,324.0672,-0.8181,0.8,4.3,3.46,3.9,0.84,68,144,0.59,0.33,0.38,R,,1G324062-008119,G324.071-00.812,,S82,Simbad,234.0096,-56.7772
2G0247402+0005844,2G0247402+0005844,24.7402,0.0584,0.18,0.99,0.56,0.8,0.09,62,52,0.82,0.08,0.14,R,,1G024743+000618,G024.750+00.063,,,Simbad,279.0516,-7.2585
2G0425302-0054841,2G0425302-0054841,42.5303,-0.5484,0.18,0.69,0.48,0.6,0.1,152,71,0.73,,0.22,C,,1G042526-005558,,,,Simbad,287.7606,8.2809
2G0597617-0003088,2G0597617-0003088,59.7617,-0.0309,0.68,0.81,0.53,0.68,0.44,64,68,0.76,0.07,0.07,C,,,G059.755-00.028,,,Simbad,295.8759,23.6684
2G3461113-0010907,2G3461113-0010907,346.1113,-0.1091,0.14,0.89,0.7,0.8,0.09,54,49,0.61,,0.31,C,,1G346111-001105,G346.112-00.111,,,Simbad,257.0582,-40.531
2G0134369-0023402,2G0134369-0023402,13.4369,-0.234,0.31,0.83,0.57,0.71,0.2,37,123,0.72,0.11,0.2,R,,1G013443-002246,G013.442-00.228,,,Simbad,273.9049,-17.3898
2G0232402-0023377,2G0232402-0023377,23.2402,-0.2338,0.18,0.9,0.87,0.88,0.11,5,63,0.24,,0.14,C,,1G023242-002328,G023.240-00.240,4.8,,Simbad,278.6164,-8.7247
2G3456024-0006257,2G3456024-0006257,345.6025,-0.0626,0.16,0.41,0.31,0.36,0.09,5,58,0.65,,0.13,C,,1G345604-000666,,,,Simbad,256.6061,-40.91
2G3488748+0008391,2G3488748+0008391,348.8748,0.0839,0.08,0.39,0.26,0.33,0.05,135,32,0.74,,0.24,C,,1G348873+000849,G348.874+00.084,,,Simbad,258.9646,-38.1853
2G3118220-0030208,2G3118220-0030208,311.822,-0.3021,0.36,1.52,1.24,1.39,0.2,24,65,0.57,,0.19,C,,1G311826-003009,G311.809-00.309,,,Simbad,211.9781,-61.8467
2G0196278-0011508,2G0196278-0011508,19.6278,-0.1151,0.44,3.34,2.15,2.81,0.41,78,55,0.77,,0.22,C,P,1G019632-001189,G019.629-00.095,11.7,,Simbad,276.8094,-11.8716
2G0361209+0004801,2G0361209+0004801,36.121,0.048,0.32,0.74,0.59,0.67,0.22,62,48,0.61,,0.24,C,,,G036.117+00.050,,,Simbad,284.2721,2.8599
2G0437884-0011662,2G0437884-0011662,43.7885,-0.1166,0.07,0.39,0.36,0.38,0.04,171,104,0.38,,0.27,C,,1G043789-001157,,,,Simbad,287.9621,9.5961
2G3393060+0027124,2G3393060+0027124,339.306,0.2712,0.85,1.82,1.42,1.63,0.48,44,94,0.62,0.22,0.22,R,,1G339299+002904,,,,Simbad,250.8059,-45.5956
2G0494481+0026618,2G0494481+0026618,49.4482,0.2662,0.25,0.47,0.3,0.4,0.2,38,11,0.78,0.07,0.18,R,,1G049449+002655,,,,Simbad,290.3169,14.7812
2G0096133+0020566,2G0096133+0020566,9.6134,0.2057,0.06,0.4,0.27,0.34,0.08,63,67,0.74,0.13,0.45,R,,1G009613+002019,G009.612+00.205,5.2,CN136,Simbad,271.5478,-20.5274
2G3478557-0033029,2G3478557-0033029,347.8558,-0.3303,0.18,0.37,0.3,0.34,0.11,25,109,0.56,0.08,0.31,R,,1G347856-003297,G347.854-00.335,,,Simbad,258.635,-39.2548
2G0385515+0015928,2G0385515+0015928,38.5515,0.1593,0.15,0.3,0.24,0.27,0.09,57,85,0.58,0.27,0.18,R,,1G038552+001618,G038.550+00.163,11.5,,Simbad,285.2863,5.0726
2G3562378+0066541,2G3562378+0066541,356.2379,0.6654,0.37,1.1,0.83,0.97,0.22,68,107,0.65,0.13,0.33,R,,1G356244+006747,G356.230+00.670,,CS33,Simbad,263.4319,-31.7675
2G0500662-0027952,2G0500662-0027952,50.0663,-0.2795,0.34,0.99,0.76,0.88,0.17,70,100,0.65,0.05,0.14,R,,1G050066-002759,G050.068-00.277,,,Simbad,291.1167,15.0686
2G0495973-0045795,2G0495973-0045795,49.5974,-0.458,0.12,1.07,0.84,0.96,0.06,169,37,0.62,,0.23,C,D,1G049593-004578,G049.592-00.456,5.4,,Simbad,291.0497,14.5711
2G0235850+0002451,2G0235850+0002451,23.5851,0.0245,0.2,0.62,0.46,0.55,0.19,44,90,0.68,0.11,0.09,C,,1G023585+000273,G023.585+00.029,5.5,,Simbad,278.5453,-8.2995
2G0169614-0008562,2G0169614-0008562,16.9614,-0.0856,0.05,0.18,0.1,0.14,0.03,174,4,0.83,,0.26,C,,,G016.961-00.087,,,Simbad,275.5025,-14.2146
