,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G0235317-0004784,2G0235317-0004784,23.5317,-0.0478,0.32,0.72,0.56,0.65,0.24,47,158,0.63,0.03,0.1,C,,1G023532-000472,,,,Simbad,278.5853,-8.3802
2G3289644+0022591,2G3289644+0022591,328.9645,0.2259,0.5,2.44,1.98,2.22,0.43,78,75,0.58,0.1,0.18,R,,,G328.962+00.207,,,Simbad,239.5838,-52.9291
2G0047490+0030964,2G0047490+0030964,4.7491,0.3096,0.26,0.67,0.45,0.57,0.14,113,157,0.74,0.12,0.2,R,,1G004752+003108,G004.753+00.308,,,Simbad,268.8353,-24.6995
2G0059471-0014140,2G0059471-0014140,5.9471,-0.1414,0.28,0.74,0.58,0.66,0.34,1,91,0.61,0.07,0.08,C,,,G005.946-00.142,,CN72,Simbad,269.922,-23.8886
2G3390978+0070290,2G3390978+0070290,339.0979,0.7029,0.42,1.99,1.3,1.68,0.19,124,85,0.76,,0.18,C,,1G339100+007036,G339.089+00.713,4.2,,Simbad,250.1468,-45.4672
2G3563192-0021986,2G3563192-0021986,356.3192,-0.2199,0.06,0.14,0.08,0.12,0.04,170,82,0.8,,0.13,C,,,,,,Simbad,264.3621,-32.1771
2G0312684+0048494,2G0312684+0048494,31.2684,0.4849,0.2,0.73,0.57,0.66,0.13,85,117,0.62,0.26,0.33,R,,1G031269+004837,G031.268+00.478,15.3,,Simbad,281.6692,-1.2592
2G0061315-0025328,2G0061315-0025328,6.1316,-0.2533,0.69,0.77,0.69,0.73,0.32,41,109,0.43,0.06,0.15,R,,1G006131-002543,G006.128-00.252,,,Simbad,270.1284,-23.7841
2G0069995-0025392,2G0069995-0025392,6.9995,-0.2539,0.59,3.94,3.43,3.7,0.48,77,89,0.49,,0.17,C,,1G007004-002556,G007.015-00.271,,CN88 CN89,Simbad,270.5971,-23.0303
2G0274752-0003782,2G0274752-0003782,27.4753,-0.0378,0.23,0.66,0.55,0.61,0.12,15,106,0.54,0.2,0.18,R,,1G027475-000350,,,,Simbad,280.3991,-4.8721
2G0233561-0013872,2G0233561-0013872,23.3561,-0.1387,0.31,0.38,0.29,0.34,0.12,64,122,0.66,0.09,0.16,R,,,G023.354-00.136,,,Simbad,278.5851,-8.578
2G3332674-0043902,2G3332674-0043902,333.2674,-0.439,0.13,0.59,0.5,0.55,0.13,34,107,0.51,0.17,0.22,R,,1G333267-004392,G333.267-00.439,,S47,Simbad,245.4177,-50.4982
2G0071948+0023258,2G0071948+0023258,7.1948,0.2326,0.02,0.26,0.22,0.24,0.02,30,12,0.55,,0.23,C,,,G007.194+00.233,,,Simbad,270.2432,-22.6199
2G0285588-0029064,2G0285588-0029064,28.5588,-0.2906,0.11,0.33,0.26,0.3,0.07,53,108,0.64,,0.19,C,,,G028.557-00.291,,,Simbad,281.1214,-4.024
2G0518316+0045611,2G0518316+0045611,51.8316,0.4561,0.4,0.89,0.59,0.75,0.25,22,73,0.75,0.1,0.1,C,D,,G051.831+00.462,10.3,,Simbad,291.3133,16.9717
2G3530681-0002267,2G3530681-0002267,353.0681,-0.0227,0.22,0.42,0.35,0.39,0.11,33,68,0.53,0.08,0.26,R,,1G353069-000243,G353.073-00.023,,,Simbad,262.037,-34.7943
2G3280370+0029952,2G3280370+0029952,328.0371,0.2995,0.16,0.99,0.67,0.84,0.08,155,95,0.73,,0.29,C,,1G328036+002978,G328.043+00.298,,,Simbad,238.317,-53.4673
2G3384460-0026048,2G3384460-0026048,338.4461,-0.2605,0.1,0.36,0.23,0.3,0.07,32,54,0.76,,0.15,C,,,G338.446-00.261,,,Simbad,250.568,-46.593
2G0055247+0003692,2G0055247+0003692,5.5247,0.0369,0.1,0.67,0.51,0.59,0.09,124,92,0.65,0.22,0.27,R,,1G005526+000395,G005.524+00.033,,CN67,Simbad,269.5221,-24.1658
2G3461076-0037195,2G3461076-0037195,346.1076,-0.372,0.15,0.35,0.26,0.31,0.08,157,110,0.67,0.26,0.18,R,,1G346108-003706,G346.109-00.372,,,Simbad,257.3331,-40.691
2G0059111-0034148,2G0059111-0034148,5.9112,-0.3415,0.47,1.48,1.02,1.27,0.29,56,92,0.72,0.04,0.17,R,,1G005914-003444,G005.915-00.354,,,Simbad,270.0925,-24.0192
2G0053518+0008039,2G0053518+0008039,5.3519,0.0804,1.25,6.64,4.77,5.78,0.99,38,119,0.7,0.07,0.4,R,,1G005346+000820,G005.332+00.081,,,Simbad,269.386,-24.2936
2G0330535-0009376,2G0330535-0009376,33.0536,-0.0938,2.23,5.38,4.11,4.79,1.08,20,156,0.64,0.11,0.27,R,,1G033068-000991,G033.051-00.078,7.1,N59,Simbad,282.9984,0.0655
2G3323701+0058040,2G3323701+0058040,332.3701,0.5804,0.39,0.95,0.69,0.83,0.33,174,103,0.69,0.19,0.17,R,,1G332371+005801,G332.369+00.584,,,Simbad,243.2917,-50.3916
2G3012800+0044181,2G3012800+0044181,301.28,0.4418,0.24,0.59,0.43,0.52,0.25,167,117,0.69,0.2,0.22,R,,1G301279+004437,G301.282+00.445,,,Simbad,189.2941,-62.3842
2G3433675-0023506,2G3433675-0023506,343.3675,-0.2351,0.12,0.4,0.38,0.39,0.06,75,70,0.33,,0.15,C,,1G343367-002350,G343.367-00.236,,,Simbad,254.9594,-42.7864
2G0106963+0003379,2G0106963+0003379,10.6963,0.0338,0.25,1.37,0.77,1.11,0.13,47,37,0.83,,0.19,C,,1G010697+000359,G010.689+00.031,,,Simbad,272.2685,-19.6648
2G0303883+0049305,2G0303883+0049305,30.3884,0.4931,0.03,0.25,0.16,0.21,0.04,178,96,0.74,,0.19,C,,,G030.388+00.493,,,Simbad,281.26,-2.0385
2G0319127+0019540,2G0319127+0019540,31.9127,0.1954,0.05,0.45,0.29,0.38,0.04,31,58,0.78,,0.3,C,,1G031915+001943,,,,Simbad,282.2208,-0.818
2G3142588+0011615,2G3142588+0011615,314.2589,0.1162,0.09,0.56,0.4,0.49,0.08,87,67,0.71,,0.21,C,,1G314258+001166,G314.258+00.117,,,Simbad,216.49,-60.6599
2G3518343-0036664,2G3518343-0036664,351.8344,-0.3666,0.03,0.26,0.19,0.23,0.04,1,58,0.68,,0.21,C,,,G351.831-00.367,,,Simbad,261.5443,-36.0104
2G0303764+0002571,2G0303764+0002571,30.3764,0.0257,0.2,0.68,0.53,0.61,0.12,56,44,0.63,0.1,0.32,R,,1G030377+000287,G030.374+00.026,,,Simbad,281.6707,-2.2625
2G3563053-0021744,2G3563053-0021744,356.3054,-0.2174,0.1,0.53,0.42,0.48,0.08,106,97,0.61,,0.17,C,,1G356305-002183,,,,Simbad,264.3508,-32.1874
2G3027374-0080622,2G3027374-0080622,302.7374,-0.8062,1.59,2.19,1.66,1.95,0.74,56,70,0.65,,0.22,C,,1G302730-008178,G302.722-00.816,,,Simbad,192.4209,-63.6773
2G0032853-0005691,2G0032853-0005691,3.2854,-0.0569,1.26,3.49,2.72,3.13,0.86,63,114,0.63,0.18,0.37,R,P,1G003273-000593,G003.266-00.061,,CN39,Simbad,268.3654,-26.1475
2G0241735+0040436,2G0241735+0040436,24.1736,0.4044,0.19,0.34,0.26,0.3,0.09,180,61,0.67,0.08,0.15,R,,1G024174+004017,G024.174+00.403,,,Simbad,278.4788,-7.6022
2G3503952-0005835,2G3503952-0005835,350.3952,-0.0583,0.07,0.32,0.26,0.29,0.12,28,122,0.55,0.2,0.16,R,,1G350395-000604,G350.395-00.058,,CS104,Simbad,260.2165,-37.0241
2G0117681+0058393,2G0117681+0058393,11.7682,0.5839,1.43,1.63,0.97,1.34,0.7,40,59,0.81,,0.13,C,,,G011.769+00.567,,,Simbad,272.3086,-18.4606
2G3048644+0024469,2G3048644+0024469,304.8645,0.2447,0.28,0.93,0.64,0.8,0.21,64,79,0.72,,0.25,C,,1G304864+002464,G304.864+00.243,,,Simbad,197.0568,-62.564
2G0144897+0002083,2G0144897+0002083,14.4898,0.0208,0.05,0.25,0.16,0.21,0.07,116,134,0.77,0.32,0.31,R,,1G014491+000238,G014.489+00.020,,,Simbad,274.1944,-16.3425
2G3519201+0011586,2G3519201+0011586,351.9201,0.1159,0.24,0.57,0.46,0.52,0.17,103,96,0.61,0.15,0.16,R,,1G351921+001154,G351.919+00.114,,,Simbad,261.1109,-35.6689
2G0340257+0023604,2G0340257+0023604,34.0258,0.2361,0.18,0.25,0.2,0.22,0.07,33,106,0.61,0.19,0.13,R,,,G034.023+00.233,,,Simbad,283.1482,1.0812
2G3035590-0054128,2G3035590-0054128,303.5591,-0.5413,0.87,0.71,0.53,0.63,0.35,34,89,0.66,0.06,0.25,R,,1G303557-005450,G303.557-00.539,,,Simbad,194.2605,-63.4062
2G3136804+0031503,2G3136804+0031503,313.6805,0.315,0.09,0.36,0.25,0.31,0.07,47,23,0.73,,0.31,C,,,G313.682+00.313,,,Simbad,215.2419,-60.6747
2G0310516+0035071,2G0310516+0035071,31.0517,0.3507,0.14,0.43,0.37,0.4,0.14,81,96,0.52,0.14,0.18,R,,1G031051+003520,G031.050+00.353,,,Simbad,281.6897,-1.5133
2G0412083-0016737,2G0412083-0016737,41.2083,-0.1674,0.12,0.61,0.34,0.5,0.07,172,18,0.83,,0.12,C,,,G041.207-00.167,,,Simbad,286.8042,7.2835
2G0032101-0010494,2G0032101-0010494,3.2101,-0.105,0.05,0.26,0.16,0.22,0.04,17,65,0.8,0.25,0.18,R,D,,,,CN37,Simbad,268.369,-26.2368
2G3389288+0039354,2G3389288+0039354,338.9288,0.3936,0.05,0.28,0.22,0.25,0.03,11,78,0.64,,0.24,C,,1G338928+003899,G338.926+00.392,,,Simbad,250.3183,-45.7987
2G0086259-0053254,2G0086259-0053254,8.6259,-0.5325,0.24,1.06,0.9,0.98,0.2,175,112,0.53,0.07,0.11,C,,,,,CN119,Simbad,271.7223,-21.7495
2G3428058-0002596,2G3428058-0002596,342.8058,-0.026,0.37,0.93,0.58,0.77,0.19,180,100,0.78,0.04,0.24,R,,1G342807-000288,G342.809-00.031,,,Simbad,254.2591,-43.0969
2G3523843-0039147,2G3523843-0039147,352.3844,-0.3915,0.5,0.53,0.4,0.47,0.22,35,78,0.66,0.12,0.09,C,,,G352.386-00.391,,,Simbad,261.9477,-35.5677
2G0078104-0061407,2G0078104-0061407,7.8105,-0.6141,0.58,2.61,1.92,2.29,0.36,160,70,0.68,,0.26,C,,1G007810-006101,G007.812-00.618,,,Simbad,271.3695,-22.501
2G3118428-0021805,2G3118428-0021805,311.8428,-0.2181,0.1,0.4,0.33,0.37,0.06,33,55,0.58,,0.26,C,,1G311842-002177,G311.841-00.219,5.7,,Simbad,211.9684,-61.7603
2G3410839-0014435,2G3410839-0014435,341.084,-0.1444,0.08,0.32,0.28,0.3,0.05,73,126,0.51,0.14,0.22,R,,1G341084-001458,G341.085-00.145,,,Simbad,252.8823,-44.5081
2G0612975-0033161,2G0612975-0033161,61.2975,-0.3316,0.32,0.57,0.41,0.5,0.29,12,105,0.69,0.25,0.42,R,,1G061294-003308,G061.292-00.331,9.9,,Simbad,297.0062,24.8462
2G0440313-0017232,2G0440313-0017232,44.0314,-0.1723,0.35,0.59,0.4,0.5,0.12,4,80,0.73,,0.14,C,,1G044034-001687,G044.033-00.173,,,Simbad,288.1263,9.7856
2G3273581-0010455,2G3273581-0010455,327.3581,-0.1046,0.21,0.53,0.36,0.45,0.19,44,112,0.72,0.08,0.12,C,,1G327358-001056,G327.358-00.103,,,Simbad,237.8577,-54.2095
2G0143891-0002266,2G0143891-0002266,14.3891,-0.0227,0.14,0.27,0.21,0.24,0.09,65,107,0.63,0.12,0.12,C,,1G014389-000194,G014.391-00.023,,,Simbad,274.1844,-16.4518
2G0336276-0001676,2G0336276-0001676,33.6277,-0.0168,0.14,0.33,0.26,0.29,0.15,26,119,0.63,0.11,0.07,C,,,G033.627-00.017,,,Simbad,283.1917,0.6116
2G3579868-0015789,2G3579868-0015789,357.9868,-0.1579,0.33,0.32,0.26,0.29,0.11,55,72,0.59,0.05,0.55,R,,1G357987-001576,G357.985-00.161,,,Simbad,265.3417,-30.7326
2G3411305-0035419,2G3411305-0035419,341.1305,-0.3542,0.11,0.21,0.19,0.2,0.05,18,49,0.48,,0.15,C,D,,G341.131-00.354,,,Simbad,253.1511,-44.6056
2G3267809+0066789,2G3267809+0066789,326.781,0.6679,0.14,0.83,0.54,0.7,0.07,71,42,0.76,,0.62,C,,1G326778+006732,G326.780+00.669,,,Simbad,236.269,-53.9618
2G0562608-0016736,2G0562608-0016736,56.2609,-0.1674,0.11,0.4,0.35,0.37,0.08,34,87,0.49,0.18,0.4,R,,,G056.263-00.171,4.7,,Simbad,294.1409,20.5553
2G3547830+0082756,2G3547830+0082756,354.7831,0.8276,0.11,0.23,0.19,0.21,0.04,132,56,0.57,,0.16,C,,,,,CS42,Simbad,262.3279,-32.8954
2G0389547-0053437,2G0389547-0053437,38.9547,-0.5344,0.39,1.11,0.9,1.02,0.24,109,135,0.58,0.16,0.33,R,,1G038951-005298,G038.956-00.543,,,Simbad,286.0908,5.1132
2G0135756-0022511,2G0135756-0022511,13.5756,-0.2251,0.08,0.26,0.23,0.24,0.06,65,74,0.45,,0.14,C,,1G013576-002262,G013.576-00.227,,,Simbad,273.9659,-17.2636
2G3503264+0009112,2G3503264+0009112,350.3265,0.0911,0.15,0.93,0.83,0.88,0.1,50,49,0.45,,0.39,C,,1G350327+000925,G350.328+00.090,,CS106,Simbad,260.0138,-36.9952
2G3388381-0031605,2G3388381-0031605,338.8381,-0.3161,0.32,1.05,0.88,0.97,0.26,9,106,0.54,0.35,0.61,R,,1G338841-003166,G338.837-00.318,,S31,Simbad,251.0026,-46.3339
2G3314262-0037217,2G3314262-0037217,331.4262,-0.3722,0.06,0.31,0.25,0.28,0.05,1,121,0.6,0.1,0.22,R,,1G331427-003722,G331.427-00.372,,,Simbad,243.2382,-51.7322
2G0494312-0000839,2G0494312-0000839,49.4313,-0.0084,0.08,0.38,0.28,0.34,0.11,72,122,0.67,0.27,0.24,R,,1G049431-000059,G049.431-00.009,5.5,,Simbad,290.5591,14.637
2G3117883+0008542,2G3117883+0008542,311.7883,0.0854,0.17,0.55,0.42,0.49,0.16,8,144,0.63,0.17,0.22,R,,1G311791+000846,G311.794+00.084,,,Simbad,211.674,-61.4855
2G3066717-0026041,2G3066717-0026041,306.6718,-0.2604,0.14,0.88,0.69,0.79,0.11,40,34,0.62,,0.14,C,,,,,,Simbad,201.0895,-62.8929
2G0269092+0010179,2G0269092+0010179,26.9093,0.1018,0.62,0.91,0.67,0.8,0.52,72,113,0.67,0.07,0.13,R,,1G026908+001061,G026.910+00.100,,,Simbad,280.0143,-5.3114
2G3141361+0037527,2G3141361+0037527,314.1362,0.3753,0.21,0.68,0.46,0.58,0.13,160,116,0.73,0.05,0.13,R,,1G314139+003753,G314.138+00.373,,,Simbad,216.0701,-60.461
2G3583818-0084342,2G3583818-0084342,358.3819,-0.8434,0.25,1.83,1.09,1.51,0.21,46,53,0.8,,0.26,C,,1G358383-008437,G358.397-00.861,,,Simbad,266.2618,-30.7566
2G0122282-0011318,2G0122282-0011318,12.2282,-0.1132,0.23,0.82,0.55,0.7,0.09,76,82,0.75,,0.15,C,,1G012229-001117,G012.228-00.115,,,Simbad,273.186,-18.3936
