,dec_min,ra_min,dec_max,ra_max,fits_path
0,-0.7460891852474414,309.5157866159359,-0.6854654879370117,309.5785160261159,spitzer_30900+0000_rgb
0,0.5329213813895362,308.7327207057978,0.567133783391162,308.76683593983165,spitzer_30900+0000_rgb
0,0.12443513872960693,309.00345540361127,0.25982063542262696,309.14064225119773,spitzer_30900+0000_rgb
0,-0.49005110187032225,307.78500912673326,-0.47144783057198,307.8035931109224,spitzer_30900+0000_rgb
0,-0.20476139118155273,309.235307045173,-0.17642154771495117,309.2630292942447,spitzer_30900+0000_rgb
0,-0.41782893462379395,308.07130664991195,-0.39860709236809566,308.0898990976427,spitzer_30900+0000_rgb
0,-0.6077723327894641,307.5922132302237,-0.5841527854996179,307.616369805503,spitzer_30900+0000_rgb
0,0.5200271757893115,308.59671387122035,0.7067228119431884,308.7882880880546,spitzer_30900+0000_rgb
0,-0.12262662637790038,309.381612545012,-0.10314192605191405,309.4009230103137,spitzer_30900+0000_rgb
0,0.41600471589203614,310.00415278129964,0.45095572465710937,310.0370294492651,spitzer_30900+0000_rgb
0,-0.2636388319990283,310.15637747053256,-0.23160326916834229,310.18865937125145,spitzer_30900+0000_rgb
0,-0.6343239682661352,309.27613020557203,-0.6110268493584814,309.29833259792815,spitzer_30900+0000_rgb
0,-0.47133731625016845,307.8872435007109,-0.45320694533772216,307.90476384558775,spitzer_30900+0000_rgb
0,-0.5943119243954224,309.3382079230502,-0.5740625756395825,309.35850463508683,spitzer_30900+0000_rgb
0,-0.226299965184917,310.508497238333,-0.20631445106185545,310.5283602625281,spitzer_30900+0000_rgb
0,-0.5968572531460107,307.547582371295,-0.5739998721896887,307.57073178512604,spitzer_30900+0000_rgb
0,-0.7394548265898266,309.54336213649344,-0.7099636566373425,309.5721287377683,spitzer_30900+0000_rgb
0,-0.11285823454850097,309.4572358352714,-0.09308186755876464,309.47618041516006,spitzer_30900+0000_rgb
0,-0.03751245079675049,309.16406331216143,-0.01532950831024658,309.18639892391724,spitzer_30900+0000_rgb
0,-0.8277549966052624,307.49541212442085,-0.8141450113897998,307.50890528834844,spitzer_30900+0000_rgb
0,-0.3321175910798657,309.127887042992,-0.3007591929559497,309.1591017236694,spitzer_30900+0000_rgb
0,0.12683528518998047,309.1104117827501,0.15322688648856445,309.1346136054247,spitzer_30900+0000_rgb
0,0.49763443512782224,309.9966882631451,0.5107547149445361,310.0100830790919,spitzer_30900+0000_rgb
0,-0.5179234974249316,308.71081966435014,-0.49645491040003414,308.7325524115286,spitzer_30900+0000_rgb
0,0.6707576430320068,310.49756340563795,0.6896279227912206,310.5164959463422,spitzer_30900+0000_rgb
0,0.3179733041119336,309.85556680459536,0.42768896056686034,309.9646819158089,spitzer_30900+0000_rgb
0,-0.15707104335116454,309.3630043909012,-0.13337255726002442,309.3860601361134,spitzer_30900+0000_rgb
0,-0.11394872932926269,310.17871182089516,-0.10025699769534667,310.19201174752,spitzer_30900+0000_rgb
0,-0.7608335291755187,309.5104370066144,-0.7452864101903649,309.52553612755713,spitzer_30900+0000_rgb
0,-0.24912849685767333,308.7786049826827,-0.2344855119780615,308.7928518900923,spitzer_30900+0000_rgb
